PCA Untuned 0,PCA Untuned 1,PCA Untuned 2,PCA Untuned 3,PCA Untuned 4,phrase,label
0.523791929,0.781211838,0.339806908,0.4083299,0.436154845,autonomic computing,cs
0.438684587,0.719434868,0.274682655,0.459885417,0.41690051,autonomic networking,cs
0.276429998,0.193703196,0.356688194,0.347319977,0.693902391,autonomous operation,cs
0.272030689,0.617258669,0.234850548,0.468711356,0.468342769,autonomous processing nodes,cs
0.484160773,0.360085969,0.411855111,0.330463422,0.328075905,avl trees,cs
0.311772363,0.589870657,0.289274654,0.274515823,0.338243644,axiomatic set theory,cs
0.359672878,0.24049638,0.579544713,0.248528853,0.119726192,back end,cs
0.386560584,0.855691941,0.465282764,0.520018732,0.467332404,backpropagation based artificial neural networks,cs
0.284217487,0.387596337,0.758763187,0.320551525,0.211659622,backward euler method,cs
0.285633746,0.436157464,0.488867681,0.298011126,0.794848676,balanced binary search trees,cs
0.174858528,0.141080574,0.304201655,0.224094081,0.509740356,basic function,cs
0.339877994,0.364900875,0.375352313,0.156917121,0.175883513,bayes net,cs
0.428886234,0.379883669,0.342070741,0.155117584,0.167679455,bayes network,cs
0.334948601,0.641590443,0.401609472,0.277752234,0.346612828,bayesian network,cs
0.346479329,0.650613137,0.407702342,0.382708119,0.37740537,bayesian networks,cs
0.39089008,0.536414282,0.325559888,0.233195954,0.351492458,bcjr algorithm,cs
0.143969313,0.834171407,0.330498172,0.430418996,0.458620788,behavioral software design pattern,cs
0.287873799,0.440731619,0.294141936,0.250544304,0.276866227,belief network,cs
0.453257028,0.506467789,0.490367154,0.229565899,0.512721176,bernstein basis polynomials,cs
0.430703217,0.515666566,0.497519453,0.233340242,0.537724662,bernstein polynomial,cs
0.468197806,0.487569392,0.473132375,0.229934101,0.503468175,bernstein polynomials,cs
0.713164785,0.293897738,0.181261211,0.846437562,0.397746743,big data,cs
0.476858551,0.627291057,0.79057768,0.267943428,0.524006675,binary arithmetic,cs
0.275868094,0.400423563,0.679574735,0.28376379,0.300598284,binary dependent variable,cs
0.326447677,0.460964918,0.754253716,0.258704818,0.457081668,binary file,cs
0.363293528,0.452395906,0.830805931,0.184180673,0.47251949,binary floating point,cs
0.27841996,0.362429583,0.830569707,0.33416927,0.374362211,binary inputs,cs
0.330983805,0.578776629,0.746530463,0.308019939,0.494131568,binary lexicographic code,cs
0.336880107,0.527340056,0.79389409,0.396730644,0.403425878,binary lexicographic codes,cs
0.305178026,0.331837279,0.860357406,0.287356391,0.413221962,binary operation,cs
0.328691631,0.66328375,0.660795537,0.254445511,0.423950493,binary search tree,cs
0.359914344,0.715339831,0.53803931,0.257212548,0.463010934,binary search tree algorithm,cs
0.310308406,0.658250379,0.757146387,0.324040165,0.439442686,binary search trees,cs
0.361688935,0.606942189,0.721416322,0.289732963,0.398431601,binary space partitioning,cs
0.370708839,0.452569486,0.819186299,0.284932803,0.308690587,binary splitting,cs
0.33345423,0.498204053,0.816116549,0.309943197,0.359081334,binary tree,cs
0.309961825,0.532225071,0.866131757,0.363344919,0.408817964,binary trees,cs
0.500374646,0.799284509,0.262910551,0.45165422,0.620284449,bio-inspired computing,cs
0.368347164,0.631229804,0.268671969,0.263878886,0.398949516,biodiversity informatics,cs
0.557459548,0.730491298,0.205763482,0.497416351,0.672535683,biologically inspired computing,cs
0.351388703,0.588366839,0.427425887,0.254010324,0.26861172,bit array,cs
0.345911263,0.506587201,0.38084022,0.440581034,0.252768676,bit sequences,cs
0.321563724,0.444772434,0.49154595,0.357321252,0.1777751,bit slicing,cs
0.336875709,0.377025466,0.5520475,0.367910603,0.165893694,bit string,cs
0.168020383,0.293174715,0.577388667,0.426259617,0.525027024,bitwise operation,cs
0.188425663,0.425326092,0.535273521,0.448626809,0.485755094,bitwise operations,cs
0.443239492,0.60048799,0.555777973,0.270261687,0.217050823,block lanczos algorithm,cs
0.281923479,0.591106181,0.406956989,0.181955607,0.353501719,boltzmann learning rule,cs
0.459069098,0.584787846,0.382718787,0.182147036,0.261600871,bonferroni testing,cs
0.489123221,0.811144603,0.547481587,0.274676906,0.537612423,boolean algebra,cs
0.290691501,0.70137025,0.544672991,0.367692112,0.407966748,boolean function,cs
0.293347381,0.705421947,0.545639066,0.43328882,0.404646881,boolean functions,cs
0.300270659,0.674479157,0.607437999,0.355147936,0.512478725,boolean logic,cs
0.30695154,0.681170335,0.544227957,0.404544774,0.38253941,boolean operators,cs
0.498982548,0.331135675,0.181029181,0.45943951,0.327567391,boosting methods,cs
0.312698552,0.393741656,0.617488209,0.329866537,0.133662672,boundary singularity,cs
0.446404493,0.455520163,0.404606108,0.118642061,0.367046703,bsp tree,cs
0.485160223,0.518653847,0.518542929,0.506669188,0.115211136,buffer overflows,cs
0.30160525,0.72117268,0.568590044,0.543416043,0.307477945,buffer overflowsruntime error detection tools,cs
0.543710061,0.453831346,0.421303398,0.274475499,0.31369342,c4 model,cs
0.656622586,0.548510151,0.616076339,0.254502016,0.269504593,caesar cipher,cs
0.663073646,0.3923527,0.573676181,0.251537515,0.117377993,caesar shift,cs
0.274483455,0.230084186,0.464071725,0.432287956,0.188700086,categorical label,cs
0.20861571,0.6117038,0.341341643,0.362169916,0.197631986,category theory,cs
0.148571485,0.330282505,0.244858998,0.333271663,0.369129971,character recognition,cs
0.19700219,0.428961707,0.293043253,0.374733461,0.158218718,character sets,cs
0.252767507,0.48488031,0.435751594,0.291766198,0.452769677,characteristic polynomial,cs
0.38625774,0.546439821,0.19789532,0.357967144,0.502655032,chi-square automatic interaction detection,cs
0.337428898,0.439879273,0.308592324,0.469090576,0.277698867,child nodes,cs
0.369827627,0.461199199,0.319826157,0.410037223,0.301051556,child vertices,cs
0.524442151,0.429722613,0.735353651,0.585498772,0.272357399,cholesky decomposition,cs
0.472397301,0.218238188,0.33463897,0.229120688,0.413670537,classic ad hoc,cs
0.514206014,0.434784109,0.440380389,0.228423544,0.25436395,classical backpropagation rule,cs
0.596425206,0.572333597,0.397071969,0.324666959,0.600297375,classical computer,cs
0.13348399,0.275487086,0.269392705,0.350867343,0.490435413,classification accuracy,cs
0.13313366,0.665486028,0.37676672,0.426738959,0.238822135,classification algorithms,cs
0.100876402,0.373007873,0.345275493,0.340046514,0.076893472,classification criteria,cs
0.171492882,0.439589636,0.65320634,0.615070903,0.067566128,classification problem,cs
0.116066769,0.501996819,0.366869382,0.367858967,0.095069426,classification tasks,cs
0.444687431,0.461654507,0.361065503,0.299163964,0.340408347,clique trees,cs
0.704440603,0.564825733,0.406371879,0.264620347,0.242209114,clock cycle,cs
0.246940116,0.724441884,0.398761213,0.483359446,0.37089087,clustering algorithms,cs
0.283593059,0.824489525,0.376062673,0.369114522,0.389950683,code libraries,cs
0.358414523,0.701284247,0.411400015,0.310482612,0.345247216,code stylometry,cs
0.342586033,0.703335859,0.326720432,0.348458576,0.338102826,coding theory,cs
0.258489302,0.683949005,0.229996145,0.417599614,0.423889238,cognitive architecture,cs
0.241734155,0.694791769,0.221912479,0.414812679,0.3785301,cognitive architectures,cs
0.19427548,0.510887304,0.263749931,0.46383581,0.356563705,cognitive dimensions,cs
0.145137594,0.667313519,0.232181348,0.404400357,0.399010772,cognitive modeling,cs
0.399822107,0.760291745,0.288019887,0.550052869,0.573063186,cognitive robotics,cs
0.240893916,0.711827187,0.268393687,0.455972395,0.5123964,cognitive science,cs
0.170381277,0.622412054,0.257024092,0.485819949,0.313291013,cognitive theories,cs
0.244458275,0.714098599,0.398552269,0.478700682,0.368682416,combinatorial game theory,cs
0.388201769,0.46986427,0.235029884,0.345149384,0.229833874,communications network,cs
0.133692354,0.375279705,0.378382263,0.186895018,0.228458147,comparison sort,cs
0.199486828,0.747850322,0.402779019,0.371418029,0.320961986,comparison sorting algorithms,cs
0.171456682,0.351867186,0.319147474,0.291935737,0.15156572,comparison sorts,cs
0.321561899,0.442143324,0.854478855,0.649036749,0.226410934,compilation error,cs
0.311188441,0.449260984,0.825763507,0.729884124,0.230608872,compilation errors,cs
0.292869755,0.456679542,0.227161949,0.427579214,0.703721357,compiler correctness,cs
0.415425419,0.922896155,0.362178168,0.358817838,0.442112649,compiler design,cs
0.344789678,0.84567063,0.330922859,0.544429053,0.53172683,compiler optimization,cs
0.328055029,0.884353631,0.34155061,0.514793012,0.511451613,compiler optimization technique,cs
0.387205709,0.80648106,0.356105648,0.298019456,0.390824159,compiler theory,cs
0.394039816,0.35677239,0.462086069,0.857414775,0.198523044,complex functions,cs
0.440132805,0.533666044,0.417373652,0.833234126,0.297029417,complex vector spaces,cs
0.288398245,0.636340224,0.501510273,0.635509436,0.203935344,complexity theory,cs
0.221145428,0.505035342,0.465463581,0.226593672,0.243412717,composition filters,cs
0.34557452,0.641876091,0.529997162,0.279383033,0.456981834,compound logic gates,cs
0.279274283,0.401396115,0.570372137,0.572554382,0.24698416,compressed data,cs
0.403413852,0.52519839,0.275720431,0.329108118,0.310970855,computation time,cs
0.339210965,0.862432297,0.43099477,0.683938758,0.403811203,computational complexity theory,cs
0.409044177,0.908186749,0.3447816,0.480159162,0.533596168,computational engineering,cs
0.223469843,0.734628062,0.323176056,0.461651682,0.562790304,computational ethics,cs
0.286913695,0.771199186,0.343399429,0.520621429,0.374285447,computational fluid dynamics,cs
0.223334088,0.731340435,0.242528132,0.410406867,0.401252255,computational framework,cs
0.325878798,0.745337249,0.28020784,0.558924405,0.648838415,computational intelligence,cs
0.262238495,0.896567121,0.317749627,0.480186238,0.524060485,computational learning theory,cs
0.419629878,0.857859925,0.39139166,0.513754414,0.512287865,computational linguistics,cs
0.359088273,0.888599415,0.34675505,0.506827066,0.549747638,computational materials science,cs
0.409403336,0.895718295,0.449906991,0.514586582,0.617800921,computational mathematics,cs
0.212857949,0.744231371,0.288325388,0.494357952,0.396398743,computational models,cs
0.179145697,0.621013138,0.360125529,0.384433415,0.597558542,computational morality,cs
0.295382969,0.859171785,0.275911211,0.539088046,0.450702597,computational neural network models,cs
0.478786143,0.818005883,0.42454133,0.507135477,0.530025702,computational physics,cs
0.221414463,0.716522233,0.419758077,0.68380805,0.356358008,computational problems,cs
0.289658511,0.705899958,0.300302395,0.469220334,0.463706403,computational resource,cs
0.286200948,0.700253852,0.278533628,0.561019528,0.475374721,computational resources,cs
0.365340706,0.779247543,0.476144737,0.394800541,0.505939707,computational statistics,cs
0.280505296,0.715931871,0.306236716,0.435746726,0.396634104,computational system,cs
0.359765494,0.425146119,0.711381869,0.851666622,0.452647111,computationally intractable,cs
0.478275896,0.785072183,0.443968163,0.328634376,0.515003153,compute arithmetic operations,cs
0.479185605,0.943120788,0.337543638,0.507143689,0.585170754,computer architecture,cs
0.439744698,0.903166568,0.385835782,0.459556298,0.49388286,computer code,cs
0.319594301,0.82094384,0.359998465,0.508057274,0.640952043,computer ethics,cs
0.539690272,0.797353035,0.476304144,0.617013286,0.574409317,computer games,cs
0.491336393,0.838889252,0.341509913,0.508568393,0.574193472,computer graphics,cs
0.5001864,0.79351617,0.362024128,0.449633941,0.493367012,computer hardware unit,cs
0.379059219,0.872772669,0.263243471,0.641315544,0.532062396,computer interaction,cs
0.444533362,0.861896463,0.358053484,0.467179673,0.536219498,computer language,cs
0.427024632,0.919577339,0.361678464,0.550006017,0.674973888,computer learning,cs
0.53397049,0.874833115,0.432394896,0.516569926,0.573624719,computer memory,cs
0.518826089,0.829211313,0.341929155,0.498874153,0.485347872,computer network,cs
0.43621823,0.913463385,0.291761972,0.485382869,0.506980178,computer network architecture,cs
0.555531868,0.907226788,0.371221788,0.511175727,0.548607307,computer processors,cs
0.459270763,0.871893865,0.381183853,0.454738038,0.4803574,computer program,cs
0.356466235,0.914546551,0.290341991,0.395898801,0.465461096,computer program source code,cs
0.477454691,0.955504576,0.358939135,0.550405176,0.563240782,computer programming,cs
0.449001352,0.865470145,0.372766644,0.566137337,0.504888034,computer programs,cs
0.457953047,0.916091439,0.358592659,0.501854367,0.644497417,computer science,cs
0.447127179,0.912835711,0.320182565,0.597057618,0.614230907,computer science fields,cs
0.321359451,0.792406909,0.348319702,0.556451722,0.605075168,computer security,cs
0.385009991,0.803176743,0.305114907,0.636187954,0.646099356,computer skills,cs
0.419482231,0.8204904,0.308306658,0.512700028,0.454884819,computer systems,cs
0.467056499,0.82622947,0.325893588,0.526781386,0.5432983,computer vision,cs
0.495224736,0.823900059,0.300553071,0.560788761,0.469683482,computing machinery,cs
0.434193184,0.702802124,0.259205922,0.54692166,0.524288222,computing resources,cs
0.387061509,0.742328182,0.431937924,0.307358646,0.441115203,concurrent pattern calculus,cs
0.166620582,0.328289471,0.541329736,0.217157206,0.221027982,conditional expression,cs
0.320924984,0.153852053,0.294874428,0.334447758,0.605468887,confidence score,cs
0.155475405,0.48805182,0.252761169,0.214653733,0.235510679,conformational analysis,cs
0.389323374,0.434025275,0.283859074,0.48210994,0.57314402,connected wireless device,cs
0.15899515,0.826125815,0.355246052,0.474005457,0.396542768,constraint logic programming,cs
0.200269101,0.725406374,0.416398892,0.498182998,0.27652659,constraint programming,cs
0.368399708,0.216945516,0.381683794,0.222528032,0.523451226,continuous function,cs
0.433601308,0.239420956,0.656450211,0.314572516,0.436321799,continuous unimodal function,cs
0.13398913,0.572233173,0.365130872,0.306607431,0.246193647,control theory,cs
0.371550579,0.69738523,0.524077683,0.428035858,0.5991186,conventional dynamic memory allocation libraries,cs
0.35618591,0.727362634,0.361434157,0.58554342,0.365781928,convolutional neural networks,cs
0.473883389,0.627990115,0.483600054,0.347766442,0.251320951,copyright investigation,cs
0.290592641,0.488987882,0.336747568,0.210907865,0.246407962,correlation matrix,cs
0.154760356,0.450926081,0.367998318,0.319922702,0.138867184,cost allocation,cs
0.608990908,0.892009444,0.461787112,0.401930256,0.470722613,cpu cache,cs
0.276530943,0.601058815,0.290169048,0.285935422,0.253031292,cross-correlation matrix,cs
0.421372069,0.601971429,0.260924895,0.357193395,0.274957047,current databases,cs
0.283657465,0.659013025,0.351049642,0.448325011,0.332006251,data compression,cs
0.189974543,0.590646941,0.25425254,0.324637964,0.232944829,data elements,cs
0.404414547,0.669416734,0.390437614,0.405908172,0.455528176,data encryption standard,cs
0.369827471,0.859854992,0.362559884,0.448547051,0.409644297,data mining,cs
0.161333294,0.638627724,0.256747418,0.293321248,0.246906294,data model,cs
0.20121351,0.734913744,0.250730126,0.366238775,0.33067218,data modeling,cs
0.186504078,0.639257804,0.268140174,0.408209497,0.310675975,data objects,cs
0.280814074,0.531399054,0.253759309,0.244935047,0.232719918,data set,cs
0.250786824,0.557051924,0.28329601,0.297619349,0.216670866,data sets,cs
0.255415252,0.623439037,0.449297765,0.399223735,0.317657023,data sparsity,cs
0.322106054,0.683353471,0.314933125,0.326144017,0.380897277,data storage,cs
0.278789409,0.755294993,0.304396311,0.356101975,0.32928351,data stream clustering,cs
0.29586021,0.752120494,0.235563674,0.490152039,0.368900411,data streaming algorithms,cs
0.206523844,0.69530724,0.250719605,0.404642532,0.310286436,data structures,cs
0.185272028,0.717829124,0.212516023,0.379683838,0.323453632,data visualization,cs
0.372614374,0.789683855,0.329245824,0.276996699,0.376133455,data warehouse,cs
0.423166404,0.798663945,0.372222306,0.315212682,0.354014936,database columns,cs
0.46881824,0.770127621,0.753351408,0.503685512,0.311992874,database dumps,cs
0.307681189,0.861070948,0.306431668,0.308555221,0.401994293,database model,cs
0.325075675,0.68770607,0.299449329,0.224541101,0.609471323,database normalization,cs
0.278577838,0.765946439,0.298695686,0.272038202,0.361110176,database relation,cs
0.386490107,0.883691688,0.293925705,0.427769251,0.444502904,database systems,cs
0.4085891,0.800572353,0.341421042,0.248282649,0.361270921,database table,cs
0.317830562,0.798968661,0.307623785,0.303401238,0.424364118,database tuning,cs
0.442932896,0.506359748,0.423728371,0.129685315,0.305528605,de morgan's law,cs
0.649233001,0.643012543,0.703635792,0.309538043,0.547069934,decimal computers,cs
0.157082557,0.423489541,0.35095364,0.326532413,0.119811584,decision boundaries,cs
0.197640114,0.421130113,0.345546575,0.243177617,0.093425804,decision boundary,cs
0.173020144,0.439007881,0.544736962,0.733134463,0.081416439,decision making problems,cs
0.186733689,0.523209892,0.319202073,0.26431345,0.215828976,decision network,cs
0.223775359,0.602719414,0.395368,0.292109605,0.295331612,decision tree technique,cs
0.238538852,0.505390653,0.392960775,0.326674245,0.253457939,decision trees,cs
0.331268293,0.518031198,0.748043732,0.466321142,0.218621271,decompressed data,cs
0.336855571,0.34821562,0.191223041,0.641665375,0.428851104,deep learning,cs
0.452652794,0.691007642,0.269461533,0.631159616,0.402078512,deep neural networks,cs
0.269053544,0.485093186,0.205111089,0.517124252,0.379635544,deep reinforcement learning,cs
0.178356258,0.476609014,0.490413357,0.523222695,0.551560133,delay-tolerant networking,cs
0.141765308,0.653524561,0.332056893,0.236893392,0.325196238,description logics,cs
0.20096913,0.48615067,0.503691289,0.314887356,0.43356236,descriptive statistics,cs
0.714418286,0.765868498,0.43439061,0.432237959,0.633249927,desktop computers,cs
0.12733081,0.524400307,0.464866421,0.373274201,0.440616117,deterministic algorithm,cs
0.334543896,0.549890115,0.494746919,0.418447346,0.518677724,deterministic encryption,cs
0.354543353,0.595258301,0.499227974,0.391490073,0.468907398,deterministic encryption scheme,cs
0.349860768,0.627902927,0.488017764,0.467110817,0.465175912,deterministic encryption schemes,cs
0.300170978,0.610884526,0.333672715,0.434795772,0.422862751,deterministic global optimization,cs
0.179635542,0.39029035,0.660690516,0.643395301,0.15066827,differentiable function,cs
0.411306939,0.72998416,0.559819394,0.285064686,0.416168402,differential calculus,cs
0.390461861,0.617441513,0.484400457,0.311563182,0.259293815,differential equations,cs
0.356876555,0.546887225,0.434403172,0.387856582,0.384928594,digital data,cs
0.287451841,0.505748091,0.539824868,0.276837167,0.41690918,digital filter,cs
0.271988065,0.550349231,0.510017813,0.342071686,0.441588178,digital filters,cs
0.343959738,0.531318931,0.374797104,0.402175101,0.405203112,digital information,cs
0.37427499,0.451985987,0.464620905,0.291619707,0.458043748,digital signal,cs
0.427400478,0.570544731,0.439551981,0.350362234,0.401618633,digital signatures,cs
0.488534701,0.498304119,0.406894972,0.411086685,0.252487138,dimensional space,cs
0.441998302,0.627877979,0.347344579,0.288385467,0.410385044,directed acyclic graph,cs
0.24993818,0.552637947,0.530492825,0.326640683,0.501921162,discrete time recurrent neural networks,cs
0.133064658,0.526386082,0.579306237,0.563494118,0.123953408,discriminant function analysis,cs
0.30098887,0.43124004,0.409564903,0.245006276,0.247304848,distance metric,cs
0.217615488,0.601508992,0.387584774,0.330152386,0.368403596,distance metric learning,cs
0.223575618,0.565197044,0.512445149,0.334312935,0.393510759,distributed algorithms,cs
0.214380081,0.516500987,0.44790578,0.26565785,0.436791123,distributed application,cs
0.21386693,0.679579199,0.395660563,0.253778195,0.423771662,distributed application architecture,cs
0.283987709,0.760972233,0.46682016,0.498965287,0.56748178,distributed artificial intelligence,cs
0.268429965,0.842252228,0.421285832,0.478223817,0.553971864,distributed artificial intelligence systems,cs
0.321549533,0.726258298,0.407468514,0.335344922,0.511856184,distributed computing,cs
0.302451652,0.774171689,0.349983371,0.384781938,0.572760964,distributed computing environment,cs
0.269062111,0.57705777,0.366234634,0.225149672,0.439427313,distributed data stores,cs
0.229048053,0.609834646,0.352504408,0.303760806,0.361147804,distributed information processing,cs
0.137998734,0.625050097,0.390677229,0.311896956,0.360134391,distributed object communication,cs
0.257694092,0.488109141,0.466892674,0.255379944,0.388790907,distributed search,cs
0.20825746,0.593917843,0.37953993,0.273075171,0.332771602,distribution-based clustering,cs
0.566778082,0.412987621,0.75663187,0.332908809,0.296305286,double-ended priority queue,cs
0.437246516,0.356063439,0.366949143,0.410715886,0.32242529,doubly linked list,cs
0.31515009,0.490158429,0.288398327,0.469420545,0.276943626,dynamic array,cs
0.351247111,0.341047974,0.290761359,0.507812573,0.361909068,dynamic compilation,cs
0.412036841,0.525683541,0.320051748,0.513543346,0.271440382,dynamic prefetched arrays,cs
0.417967979,0.377419432,0.207041533,0.611959165,0.434711161,dynamic table,cs
0.284027463,0.60966741,0.227856268,0.458500963,0.387468008,dynamically allocated array,cs
0.509790276,0.453294032,0.352257327,0.164022351,0.289765515,ecb mode,cs
0.356617539,0.314496508,0.420726485,0.34834092,0.147051445,edge contraction,cs
0.612911492,0.546091981,0.347078759,0.286144849,0.212519958,eigenmode expansion,cs
0.392448675,0.665102472,0.376628929,0.292294985,0.386165074,eigenvalue algorithm,cs
0.448999659,0.535506596,0.373668894,0.329538262,0.443734218,electronic signature,cs
0.487091519,0.629658881,0.374751339,0.450731021,0.470856035,electronic signatures,cs
0.290501154,0.53730494,0.263335838,0.421037688,0.369997006,embedded data,cs
0.451516243,0.232295362,0.942315754,0.310594561,0.526062818,empty set,cs
0.445057496,0.648886015,0.473473237,0.575693658,0.287247227,encrypted data,cs
0.438373171,0.607441004,0.471311943,0.511140329,0.38152533,encryption algorithm,cs
0.468248469,0.624852905,0.493151698,0.606201732,0.38933943,encryption keys,cs
0.644480855,0.453853435,0.398037561,0.421437474,0.447058866,enhanced double hashing,cs
0.132244697,0.517028427,0.306980029,0.35492508,0.3428958,ensemble learning method,cs
0.172404538,0.462388149,0.6955661,0.661429444,0.231450867,error detection,cs
0.24640747,0.436384847,0.793167831,0.660639664,0.172035918,error message,cs
0.401088116,0.412444434,0.513363193,0.242340075,0.412355316,euclidean distance,cs
0.456642691,0.49608838,0.469670362,0.300758792,0.389118462,euclidean space,cs
0.378066281,0.575347984,0.238451517,0.457018945,0.385088228,evolutionary computation,cs
0.403041864,0.519336803,0.220067803,0.407844124,0.505411996,explicit regression gradient boosting algorithms,cs
0.828896293,0.377341733,0.252844551,0.47122735,0.420365109,exponential convergence,cs
0.29991632,0.427047845,0.557620148,0.466326364,0.116194053,external node,cs
0.563876904,0.511467695,0.458748588,0.609412531,0.458659667,fast fourier transform,cs
0.117411469,0.484730155,0.271663302,0.415031395,0.25057588,feature detection,cs
0.122724015,0.531652107,0.239928844,0.425662409,0.378416537,feature learning,cs
0.232285298,0.458700978,0.310437447,0.374544377,0.213672197,feature maps,cs
0.132359871,0.452462681,0.192857298,0.477590358,0.419171132,feature oriented programming,cs
0.09683584,0.56441253,0.295644381,0.413603804,0.3469047,feedback connections,cs
0.367537386,0.692807138,0.268404709,0.3714332,0.336344441,feedforward neural network,cs
0.531372724,0.669820696,0.583637197,0.616221877,0.191406925,file overwrites,cs
0.219969934,0.493441096,0.558874595,0.238161631,0.426190213,finite element methods,cs
0.395231744,0.401603693,0.782030382,0.277154834,0.598060908,finite graph,cs
0.408828269,0.368763412,0.623909812,0.175772118,0.220252723,first-order reduction,cs
0.434269678,0.390381653,0.38293049,0.078173962,0.32438113,fitts's law,cs
0.297958266,0.568938538,0.542256025,0.32623257,0.201448602,flux architecture,cs
0.35056912,0.574649912,0.198173714,0.328664364,0.427801348,formal knowledge representation languages,cs
0.365639567,0.61035696,0.299884926,0.238845128,0.359385138,formal language theory,cs
0.751466572,0.142888195,0.162191837,0.328779888,0.512170016,fully connected layers,cs
0.760725699,0.413673046,0.21938822,0.357452649,0.508361996,fully recurrent neural networks,cs
0.072963943,0.494538486,0.217926963,0.433303189,0.245836956,function interaction,cs
0.256224341,0.540881367,0.227898898,0.1777937,0.298004754,function join,cs
0.111041297,0.567732845,0.252963852,0.343118477,0.270572848,functional analysis,cs
0.204799497,0.448568455,0.208122367,0.450394725,0.515256918,functional architecture,cs
