tSNE Tuned 0,tSNE Tuned 1,phrase,label
0.579773371,0.531545111,boundary singularity,cs
0.360195296,0.094016118,bsp tree,cs
0.403069093,0.461339339,buffer overflows,cs
0.42073331,0.446787209,buffer overflowsruntime error detection tools,cs
0.134154312,0.506258281,c4 model,cs
0.519770486,0.494384368,caesar cipher,cs
0.698109997,0.378517827,caesar shift,cs
0.558682842,0.827136009,categorical label,cs
0.661691354,0.748827441,category theory,cs
0.793205014,0.516654129,character recognition,cs
0.356495057,0.202953637,character sets,cs
0.550940365,0.760415567,characteristic polynomial,cs
0.716659244,0.558513994,chi-square automatic interaction detection,cs
0.469186433,0.346634842,child nodes,cs
0.83282101,0.437900512,child vertices,cs
0.86628948,0.325819191,cholesky decomposition,cs
0.537590908,0.564125187,classic ad hoc,cs
0.657715474,0.702754511,classical backpropagation rule,cs
0.289859436,0.54436628,classical computer,cs
0.531976471,0.900519019,classification accuracy,cs
0.519762023,0.893152516,classification algorithms,cs
0.510157639,0.907733676,classification criteria,cs
0.731270018,0.876978076,classification problem,cs
0.513977075,0.898704012,classification tasks,cs
0.359231769,0.09341492,clique trees,cs
0.547533933,0.537324738,clock cycle,cs
0.488670085,0.707208365,clustering algorithms,cs
0.243385142,0.662460949,code libraries,cs
0.525287871,0.671178538,code stylometry,cs
0.639041008,0.729810173,coding theory,cs
0.662325043,0.5997291,cognitive architecture,cs
0.64794604,0.57200948,cognitive architectures,cs
0.685728131,0.545910102,cognitive dimensions,cs
0.801818375,0.575872049,cognitive modeling,cs
0.655455232,0.569974252,cognitive robotics,cs
0.781545635,0.66701393,cognitive science,cs
0.70039707,0.730620542,cognitive theories,cs
0.646708951,0.737204633,combinatorial game theory,cs
0.214271394,0.401071929,communications network,cs
0.710658588,0.357774498,comparison sort,cs
0.476320457,0.744330998,comparison sorting algorithms,cs
0.710399927,0.356053139,comparison sorts,cs
0.431747242,0.439564867,compilation error,cs
0.431805306,0.440493562,compilation errors,cs
0.556359411,0.923272403,compiler correctness,cs
0.328899421,0.651720272,compiler design,cs
0.409573537,0.704283615,compiler optimization,cs
0.415996431,0.7052747,compiler optimization technique,cs
0.637987506,0.754482174,compiler theory,cs
0.499828955,0.548881006,complex functions,cs
0.354698665,0.297930786,complex vector spaces,cs
0.647976258,0.734991727,complexity theory,cs
0.464408561,0.551302865,composition filters,cs
0.666225528,0.696541856,compound logic gates,cs
0.287782851,0.81460987,compressed data,cs
0.408809282,0.539094271,computation time,cs
0.645386082,0.735428252,computational complexity theory,cs
0.316293057,0.605279325,computational engineering,cs
0.869336115,0.673120941,computational ethics,cs
0.574218943,0.552800306,computational fluid dynamics,cs
0.656993605,0.705493045,computational framework,cs
0.678962138,0.58264243,computational intelligence,cs
0.808086153,0.631730287,computational learning theory,cs
0.703121008,0.659928287,computational linguistics,cs
0.772690985,0.677309459,computational materials science,cs
0.618932118,0.711565831,computational mathematics,cs
0.577730818,0.769159619,computational models,cs
0.879471689,0.668224388,computational morality,cs
0.61249954,0.58764235,computational neural network models,cs
0.611806497,0.685190901,computational physics,cs
0.761882617,0.864800314,computational problems,cs
0.391111033,0.562813685,computational resource,cs
0.390633125,0.562747538,computational resources,cs
0.394437813,0.826654217,computational statistics,cs
0.579677668,0.586347978,computational system,cs
0.781441544,0.853972869,computationally intractable,cs
0.539767431,0.706687594,compute arithmetic operations,cs
0.292320233,0.556121619,computer architecture,cs
0.306480192,0.559308381,computer code,cs
0.865002306,0.676681456,computer ethics,cs
0.240297465,0.472738047,computer games,cs
0.282886733,0.537414093,computer graphics,cs
0.279963535,0.530495204,computer hardware unit,cs
0.316741436,0.530879808,computer interaction,cs
0.328354436,0.543005941,computer language,cs
0.325050174,0.551474838,computer learning,cs
0.353620661,0.503708978,computer memory,cs
0.283812508,0.518262554,computer network,cs
0.286893104,0.54948687,computer network architecture,cs
0.27869409,0.525241005,computer processors,cs
0.303504116,0.553206634,computer program,cs
0.306493334,0.574502248,computer program source code,cs
0.311572302,0.560183094,computer programming,cs
0.298233196,0.550918103,computer programs,cs
0.341023898,0.571751181,computer science,cs
0.346842572,0.575302032,computer science fields,cs
0.127671102,0.585761107,computer security,cs
0.33770603,0.552071248,computer skills,cs
0.282073676,0.539502277,computer systems,cs
0.439229989,0.569184316,computer vision,cs
0.275547474,0.534243272,computing machinery,cs
0.259894154,0.531662465,computing resources,cs
0.592136967,0.704077722,concurrent pattern calculus,cs
0.764722637,0.447612288,conditional expression,cs
0.57865922,0.884107616,confidence score,cs
0.617504354,0.812446049,conformational analysis,cs
0.203558824,0.411576993,connected wireless device,cs
0.586345154,0.648896538,constraint logic programming,cs
0.582028326,0.643566978,constraint programming,cs
0.733999363,0.399039863,continuous function,cs
0.733814445,0.40062842,continuous unimodal function,cs
0.656594122,0.56883782,control theory,cs
0.366628385,0.507588053,conventional dynamic memory allocation libraries,cs
0.616857304,0.547700263,convolutional neural networks,cs
0.393105378,0.439561774,copyright investigation,cs
0.473920867,0.824353391,correlation matrix,cs
0.352069467,0.711720291,cost allocation,cs
0.286120067,0.50657662,cpu cache,cs
0.473877614,0.824353018,cross-correlation matrix,cs
0.286455395,0.760697673,current databases,cs
0.171366571,0.495829837,data compression,cs
0.30342733,0.78943034,data elements,cs
0.101513633,0.577747351,data encryption standard,cs
0.166328503,0.506171422,data mining,cs
0.435382869,0.794651453,data model,cs
0.434040126,0.792855811,data modeling,cs
0.304459242,0.786553742,data objects,cs
0.298856844,0.795234033,data set,cs
0.30147694,0.792923784,data sets,cs
0.331179543,0.791273138,data sparsity,cs
0.183148721,0.509322339,data storage,cs
0.314747792,0.791370854,data stream clustering,cs
0.169618351,0.491141211,data streaming algorithms,cs
0.300761985,0.782380749,data structures,cs
0.349873082,0.781731088,data visualization,cs
0.184404287,0.509281678,data warehouse,cs
0.28048618,0.753801671,database columns,cs
0.262302288,0.748997697,database dumps,cs
0.379838434,0.766369197,database model,cs
0.379291144,0.762400269,database normalization,cs
0.298501577,0.764056748,database relation,cs
0.292899202,0.750006839,database systems,cs
0.290618664,0.758769529,database table,cs
0.38757033,0.761656691,database tuning,cs
0.65264726,0.088309372,de morgan's law,cs
0.284091774,0.546045245,decimal computers,cs
0.662339029,0.950862097,decision boundaries,cs
0.6625874,0.950921084,decision boundary,cs
0.737900881,0.85710569,decision making problems,cs
0.572784092,0.583202968,decision network,cs
0.946929041,0.439236435,decision tree technique,cs
0.946691436,0.43896726,decision trees,cs
0.287250604,0.816410078,decompressed data,cs
0.846865374,0.594576038,deep learning,cs
0.607961795,0.555938293,deep neural networks,cs
0.840197413,0.57024022,deep reinforcement learning,cs
0.609741468,0.420888483,delay-tolerant networking,cs
0.3033514,0.719574793,description logics,cs
0.394913783,0.826962661,descriptive statistics,cs
0.258916095,0.536162754,desktop computers,cs
0.491337162,0.773147744,deterministic algorithm,cs
0.090776727,0.579731581,deterministic encryption,cs
0.09081209,0.579544814,deterministic encryption scheme,cs
0.090612699,0.579415052,deterministic encryption schemes,cs
0.484040774,0.769721941,deterministic global optimization,cs
0.607026906,0.537402946,differentiable function,cs
0.601752676,0.731485746,differential calculus,cs
0.597571773,0.738277058,differential equations,cs
0.278893195,0.784040755,digital data,cs
0.461208011,0.54926517,digital filter,cs
0.460703201,0.549188193,digital filters,cs
0.198723711,0.519199713,digital information,cs
0.344041206,0.429731869,digital signal,cs
0.114200906,0.649913639,digital signatures,cs
0.354621392,0.295237873,dimensional space,cs
0.585789986,0.553095056,directed acyclic graph,cs
0.586343734,0.542429552,discrete time recurrent neural networks,cs
0.537524968,0.809810794,discriminant function analysis,cs
0.308080116,0.857992086,distance metric,cs
0.513380099,0.696820931,distance metric learning,cs
0.463110806,0.671561213,distributed algorithms,cs
0.257127046,0.616453907,distributed application,cs
0.263627938,0.616989642,distributed application architecture,cs
0.446032366,0.577573017,distributed artificial intelligence,cs
0.442748982,0.577459392,distributed artificial intelligence systems,cs
0.27962987,0.551809724,distributed computing,cs
0.277063817,0.551974887,distributed computing environment,cs
0.187949897,0.515200989,distributed data stores,cs
0.202733076,0.525445555,distributed information processing,cs
0.469747055,0.479629965,distributed object communication,cs
0.142623418,0.376941972,distributed search,cs
0.47528193,0.813920504,distribution-based clustering,cs
0.072655765,0.379534171,double-ended priority queue,cs
0.032592293,0.439493012,doubly linked list,cs
0.36640246,0.322126454,dynamic array,cs
0.381206731,0.363953353,dynamic compilation,cs
0.467873108,0.551247879,dynamic prefetched arrays,cs
0.324081502,0.304797046,dynamic table,cs
0.461316612,0.543749384,dynamically allocated array,cs
0.212332458,0.473099598,ecb mode,cs
0.631059969,0.476019321,edge contraction,cs
0.212537314,0.587181863,eigenmode expansion,cs
0.491320815,0.780883608,eigenvalue algorithm,cs
0.115004315,0.649704208,electronic signature,cs
0.113928129,0.650220122,electronic signatures,cs
0.287984594,0.790162357,embedded data,cs
0.502496475,0.219868999,empty set,cs
0.108218193,0.571089085,encrypted data,cs
0.093043933,0.575326601,encryption algorithm,cs
0.090592404,0.574884851,encryption keys,cs
0.434158406,0.54359126,enhanced double hashing,cs
0.824494115,0.582077238,ensemble learning method,cs
0.4150645,0.447047781,error detection,cs
0.425656735,0.44160235,error message,cs
0.354942746,0.264375196,euclidean distance,cs
0.347085821,0.272417906,euclidean space,cs
0.60253144,0.68823626,evolutionary computation,cs
0.486998116,0.763793322,explicit regression gradient boosting algorithms,cs
0.517263911,0.530926096,exponential convergence,cs
0.459907059,0.351613783,external node,cs
0.846012106,0.450511769,fast fourier transform,cs
0.72637763,0.566854296,feature detection,cs
0.84334208,0.592335724,feature learning,cs
0.201945234,0.318609432,feature maps,cs
0.579597455,0.634950405,feature oriented programming,cs
0.623322107,0.395319262,feedback connections,cs
0.614165603,0.544800636,feedforward neural network,cs
0.431344058,0.443162145,file overwrites,cs
0.484355803,0.564067887,finite element methods,cs
0.410146565,0.660791997,finite graph,cs
0.433393782,0.484934894,first-order reduction,cs
0.656978549,0.085012231,fitts's law,cs
0.333240894,0.267581201,flux architecture,cs
0.721023104,0.646016173,formal knowledge representation languages,cs
0.714073263,0.651846319,formal language theory,cs
0.438142348,0.285176671,fully connected layers,cs
0.601149062,0.546043826,fully recurrent neural networks,cs
0.622598432,0.388665412,function interaction,cs
0.617236835,0.373475593,function join,cs
0.610926761,0.817931523,functional analysis,cs
0.357615815,0.606400701,functional architecture,cs
0.93417803,0.584752416,fuzzy class,cs
0.568993551,0.807463995,fuzzy classification,cs
0.569117059,0.807239838,fuzzy classification predicate,cs
0.30332956,0.717546836,fuzzy description logics,cs
0.14180259,0.701089637,fuzzy markup language,cs
0.562719318,0.519648517,fuzzy propositional function,cs
0.366407974,0.182399254,fuzzy set,cs
0.366494527,0.182355191,fuzzy sets,cs
0.239087291,0.470372241,gaming systems,cs
0.513040903,0.037274396,garbage collection,cs
0.580953096,0.419229742,gated recurrent units,cs
0.938899854,0.400891348,gaussian elimination,cs
0.605563774,0.824781842,gene analysis,cs
0.6545724,0.643815875,general-purpose language,cs
0.532214296,0.50697084,generalised loop splitting,cs
0.511530751,0.783501575,generalized additive models,cs
0.622926665,0.530734966,generative adversarial networks,cs
0.571349936,0.779587047,generative model,cs
0.571628892,0.780209124,generative models,cs
0.551255426,0.653331223,generic programming,cs
0.668679172,0.531391438,genetic representation,cs
0.668047753,0.532115004,genetic representations,cs
0.413226745,0.137430131,gibbs sampling,cs
0.408232666,0.517941527,global minimum,cs
0.475166176,0.580475455,global solutions,cs
0.479290502,0.580891448,global view,cs
0.24519741,0.667516446,golay code,cs
0.653619294,0.430393112,gompertz curve,cs
0.359410555,0.094618062,gradient boosted trees,cs
0.623724441,0.443073613,gradient boosting,cs
0.48214146,0.762188109,gradient boosting algorithms,cs
0.414196011,0.240729273,gradient descent,cs
0.464142574,0.671810598,graph algorithms,cs
0.372726039,0.605673971,graph embedding,cs
0.571816448,0.688844493,graph isomorphism,cs
0.629416221,0.723713332,graph minor theory,cs
0.629991898,0.725090922,graph theory,cs
0.15259841,0.531537064,graphic design,cs
0.15213349,0.530736314,graphic representation,cs
0.43061235,0.643325334,graphical program elements,cs
0.253286367,0.523687887,graphics system,cs
0.542004191,0.108281881,hadamard product,cs
0.798695715,0.524194018,handwriting recognition,cs
0.387779358,0.876181842,hardware description language,cs
0.180424794,0.463100195,hardware links,cs
0.254997584,0.563275479,hardware technologies,cs
0.43429704,0.527193132,hash functions,cs
0.015273599,0.593213459,hash tables,cs
0.759847741,0.871962398,hashing problem,cs
0.859668836,0.593235616,hebbian learning,cs
0.100280644,0.473774809,helmholtz machine,cs
0.100505844,0.473851718,helmholtz machines,cs
0.296285918,0.375857229,heterogeneous networks,cs
0.440517971,0.299103252,hidden layer,cs
0.440243399,0.29974295,hidden layers,cs
0.32870697,0.265155677,hilbert spaces,cs
0.8597316,0.596434008,hopfield learning rule,cs
0.301741875,0.595327041,huffman coding,cs
0.293182009,0.562027605,human-centered computing,cs
0.31759045,0.532125417,humancomputer interaction,cs
0.646645558,0.455888895,hurwitz stable,cs
0.483869055,0.830577939,identity matrix,cs
0.152361613,0.46671868,image file formats,cs
0.337129699,0.486168092,image processing,cs
0.144281283,0.371643639,image search tool,cs
0.224991641,0.483763217,immersive virtual environment,cs
0.463091621,0.705181924,implicit euler method,cs
0.523086454,0.547508035,in-place matrix transposition,cs
0.552081525,0.479651291,independent variable,cs
0.357020305,0.612986023,industrial design,cs
0.579860976,0.679371672,informatics techniques,cs
0.502187697,0.465038992,information dimension,cs
0.176678439,0.531232449,information graphics,cs
0.201053371,0.526991287,information retrieval,cs
0.770461234,0.678306781,information science,cs
0.129466829,0.585399732,information security,cs
0.204844144,0.5314528,information system,cs
0.215964075,0.525870043,information technology,cs
0.659709451,0.734846896,information theory,cs
0.288210174,0.804660414,input data,cs
0.427675219,0.442114419,input error,cs
0.580032317,0.501707119,input operands,cs
0.6681337,0.63619788,input sentence,cs
0.577574342,0.502191954,input sequences,cs
0.349648429,0.429048025,input signal,cs
0.838485483,0.596987941,instance-based learning,cs
0.509579703,0.756536489,integer factorization algorithms,cs
0.314189546,0.608491178,integrated computational materials engineering,cs
0.694228548,0.572269704,intelligent agent,cs
0.668107356,0.570498457,intelligent agent paradigm,cs
0.696122294,0.573820157,intelligent agents,cs
0.368920104,0.561815359,intelligent machines,cs
0.200991772,0.427667861,internet protocol suite,cs
0.188388319,0.387248533,internet route objects,cs
0.182841008,0.410430586,internet routing registry,cs
0.208200749,0.403106838,internet service providers,cs
0.647993796,0.518804308,interpolative decomposition,cs
0.519768236,0.552419475,inverse matrix,cs
0.192214406,0.397867387,ip routing,cs
0.365070049,0.625455386,ipn design,cs
0.764880224,0.611317719,iterative method,cs
0.311202135,0.5702045,javascript computer programming,cs
0.51217744,0.728284722,javascript pseudorandom number generators,cs
0.266259013,0.50632202,javascript v8 engine,cs
0.35940541,0.093676935,join trees,cs
0.666287389,0.218266318,k nearest neighbors,cs
0.55192296,0.763345485,kargerstein algorithm,cs
0.458271344,0.802716766,kernel density estimation,cs
0.29315917,0.508913811,kernel function,cs
0.284680677,0.514788012,kernel machines,cs
0.484505114,0.675917527,kernelized learning algorithms,cs
0.920402831,0.591029543,known classes,cs
0.329928588,0.360325197,krylov subspace,cs
0.801602586,0.564468863,language model,cs
0.80250386,0.564952757,language modeling,cs
0.391916735,0.879514682,language specification,cs
0.44246068,0.665541281,las vegas algorithms,cs
0.625156239,0.803153104,latent semantic analysis,cs
0.298894654,0.394610698,layered network architecture,cs
0.3739064,0.122389407,leaf node,cs
0.373284154,0.122549721,leaf nodes,cs
0.651615847,0.573483309,learning automaton,cs
0.816147305,0.622842194,learning theory,cs
0.502196988,0.700573931,learning vector quantization,cs
0.200195754,0.572662283,least-squares support-vector machine,cs
0.637378259,0.656618049,lexicographic code,cs
0.168035752,0.653614284,lightweight software,cs
0.595432115,0.732025508,linear algebra,cs
0.526045783,0.536667894,linear combination,cs
0.536715458,0.535504262,linear dependency,cs
0.525611937,0.797173157,linear discriminant analysis,cs
0.593176988,0.73547466,linear equations,cs
0.536456656,0.552190946,linear function,cs
0.525754701,0.561521461,linear programming,cs
0.540505491,0.551363164,linear quadratic gaussian control,cs
0.512130624,0.751690756,linear regularization methods,cs
0.532400874,0.553028873,linear system,cs
0.549268559,0.545462777,linearithmic time,cs
0.572865327,0.107719455,local minima,cs
0.406914395,0.516932716,local minimum,cs
0.562499721,0.540546299,local regression,cs
0.596617936,0.56065249,logarithm function,cs
0.333904943,0.241276756,logic gate,cs
0.595445067,0.638217119,logic program,cs
0.595637596,0.643158587,logic programming,cs
0.605726322,0.648646769,logic programming language,cs
0.608854614,0.650525204,logic programming languages,cs
0.592749766,0.718082613,logical calculi,cs
0.444904972,0.794149487,logical data model,cs
0.599238537,0.566333974,logistic function,cs
0.576110277,0.768812819,logistic model,cs
0.539373543,0.790539418,logistic regression,cs
0.423025202,0.488887419,logspace reductions,cs
0.308328677,0.309647574,lookup table,cs
0.307722378,0.309730409,lookup tables,cs
0.851897573,0.412459133,loop body,cs
0.503146975,0.116302051,loop peeling,cs
0.477069098,0.378169242,loop splitting,cs
0.072004977,0.511292319,lossless compression,cs
0.069587243,0.516133178,lossless compression algorithm,cs
0.761024668,0.839356465,lossy methods,cs
0.665191953,0.547770399,machine consciousness,cs
0.865009293,0.676846336,machine ethics,cs
0.490695842,0.655990057,machine learning,cs
0.485359567,0.67011015,machine learning algorithms,cs
0.489131351,0.655013241,machine learning tasks,cs
0.334931222,0.535150183,machine translation,cs
0.294512269,0.501343606,main functions,cs
0.257068251,0.658784049,managed code,cs
0.84534012,0.417121359,manifold alignment,cs
0.48261804,0.844314402,margin classifier,cs
0.478707897,0.723189572,markov algorithms,cs
0.524743455,0.774362966,markov assumption,cs
0.305406359,0.191673457,markov chain,cs
0.493278655,0.495708053,markov random field,cs
0.623591118,0.704924932,mathematical constructors,cs
0.640906129,0.705881833,mathematical duality,cs
0.594432091,0.710171616,mathematical formula,cs
0.615816855,0.693755481,mathematical function,cs
0.640434175,0.711114632,mathematical logic,cs
0.608294414,0.711173743,mathematical model,cs
0.794861381,0.663938673,mathematical study,cs
0.265745541,0.679410557,matlab code,cs
0.647090372,0.519119796,matrix decomposition,cs
0.646718255,0.51972279,matrix decompositions,cs
0.446366197,0.670607073,matrix operations,cs
0.536288235,0.756548195,max-flow min-cut theorem,cs
0.542006866,0.757986577,maximal subtree isomorphism,cs
0.538462717,0.599958939,maximin model,cs
0.538391208,0.599913246,maximin models,cs
0.464475151,0.827378182,maximum entropy probability distribution,cs
0.459845263,0.887411482,maximum likelihood,cs
0.17048999,0.304000645,maximum-margin hyperplane,cs
0.885184358,0.715344473,medical imaging,cs
0.342967337,0.336711123,meldable heap,cs
0.639450495,0.379306351,membership function,cs
0.367635259,0.500231795,memory allocation,cs
0.360490044,0.518743085,memory debugger,cs
0.360687546,0.517718978,memory debuggers,cs
0.434888783,0.454098057,memory leaks,cs
0.358074401,0.504553855,memory management unit,cs
0.568755702,0.407867807,memory protection,cs
0.566236101,0.398298018,memory search,cs
0.583596233,0.393889857,memory sharing,cs
0.36776579,0.496993321,memory space,cs
0.836972848,0.601595783,meta learning,cs
0.222214314,0.631963306,method call,cs
0.20750899,0.610621805,microsoft sql server,cs
0.216116291,0.613269016,microsoft windows application programming interface,cs
0.506135258,0.078455598,minimum k-cut,cs
0.235302958,0.394401537,mobile ad hoc networks,cs
0.484165312,0.777194172,model predictive control,cs
0.678775604,0.721694778,modern decision theory,cs
0.669654082,0.520136668,monic polynomials,cs
0.536824107,0.078481252,monte carlo algorithm,cs
0.536308466,0.077402932,monte carlo algorithms,cs
0.920051628,0.530022585,moravec's paradox,cs
0.60728625,0.535673872,multifrontal solver,cs
0.351402459,0.818620577,multilevel sampling system,cs
0.221772898,0.417786286,multimedia communication,cs
0.287382953,0.786461484,multimedia data,cs
0.336076874,0.273384707,multimodal architecture,cs
0.302690679,0.39141174,multimodal system,cs
0.545606407,0.762354089,multinomial model,cs
0.514839881,0.807666172,multivariate analysis,cs
0.358049127,0.322740831,mutable array,cs
0.028483517,0.44403986,mutable ordered lists,cs
0.379355809,0.620957594,mvc design pattern,cs
0.378416832,0.797943509,n log n comparisons,cs
0.575159459,0.597166986,natural computation,cs
0.718378458,0.625549273,natural language,cs
0.716721723,0.625495454,natural language processing,cs
0.362248662,0.271005696,neighbouring vertices,cs
0.566204416,0.495776668,nested loop,cs
0.300950206,0.397667857,network architecture,cs
0.186718191,0.386264992,network browsing,cs
0.29600468,0.380976881,network elements,cs
0.276428215,0.51070086,network processors,cs
0.534818294,0.573282461,neural abstraction pyramid,cs
0.305248866,0.370975039,neural network,cs
0.310256634,0.407898463,neural network toolbox,cs
0.308688056,0.371667466,neural networks,cs
0.625813633,0.525039716,neuron clusters,cs
0.464826343,0.625452813,nm matrix,cs
0.463024508,0.862196274,non-negative matrix factorization,cs
0.531322071,0.811822748,normal discriminant analysis,cs
0.647448788,0.48348164,normalization layers,cs
0.556515721,0.586483282,normalized entropy,cs
0.613938692,0.815558053,numerical analysis,cs
0.302666985,0.557840625,numerical computing programs,cs
0.597102575,0.732544389,numerical linear algebra,cs
0.545119109,0.684026333,numerical method,cs
0.48250077,0.621979687,numerical operations,cs
0.430357289,0.706599862,numerical optimization,cs
0.57840836,0.500912179,numpy bindings,cs
0.260447671,0.66890844,object code,cs
0.270667255,0.667200561,object code optimizer,cs
0.585404781,0.639801701,object oriented programming,cs
0.619811919,0.561683098,objective function,cs
0.655505151,0.427834277,ogee curve,cs
0.221486954,0.547956361,operating systems,cs
0.789208458,0.515735302,optical character recognition,cs
0.357285014,0.922408278,optimal solution,cs
0.728775307,0.850589676,optimality problem,cs
0.439077392,0.70730386,optimization algorithm,cs
0.430282761,0.704671614,optimization mechanism,cs
0.430731069,0.707787042,optimization methods,cs
0.718253691,0.851967598,optimization problem,cs
0.725393606,0.853998149,optimization problems,cs
0.647228709,0.74407245,optimization theory,cs
0.346297503,0.56121858,oracle developer studio,cs
0.348593715,0.200306697,ordered sets,cs
0.360375472,0.094093452,ordered tree,cs
0.283372043,0.789154191,original data,cs
0.6477375,0.516361011,orthogonal decomposition,cs
0.724849905,0.457402473,osi model,cs
0.46226295,0.34957522,outer node,cs
0.507182108,0.871896459,output label,cs
0.460841378,0.663875318,parallel algorithm,cs
0.45866691,0.664369262,parallel graph algorithms,cs
0.457360534,0.662691852,parallel solution,cs
0.374796064,0.112678429,parallel tree contraction,cs
0.929262471,0.585798202,parent class,cs
0.612296614,0.517057348,parity function,cs
0.591300852,0.704392476,pattern calculus,cs
0.47376071,0.303749859,pattern matching,cs
0.71743657,0.54055831,pattern recognition,cs
0.717146099,0.542615549,pattern recognition task,cs
0.410706629,0.762760913,performance analyzer,cs
0.572928721,0.401781137,physical memory,cs
0.82733808,0.4620411,physical qualities,cs
0.361546897,0.09447319,plane tree,cs
0.456054627,0.82457512,point distribution model,cs
0.580949591,0.696559332,polygonal approximations,cs
