tSNE Untuned 0,tSNE Untuned 1,tSNE Untuned 2,tSNE Untuned 3,phrase,label
0.495934906,0.446739072,0.152709244,0.620403564,autonomous operation,cs
0.76506673,0.547921896,0.719979841,0.556781032,autonomous processing nodes,cs
0.373361587,0.120384351,0.547997237,0.510402524,avl trees,cs
0.32843412,0.545111223,0.672354358,0.627459591,axiomatic set theory,cs
0.346487998,0.526564953,0.320880259,0.413516604,back end,cs
0.546149611,0.953242265,0.698713328,0.516796345,backpropagation based artificial neural networks,cs
0.552442964,0.274330184,0.332855916,0.401220572,backward euler method,cs
0.44658014,0.608478659,0.19230458,0.450140744,balanced binary search trees,cs
0.339064371,0.513344039,0.215388414,0.578457755,basic function,cs
0.469240938,0.632195721,0.458985712,0.656300581,bayes net,cs
0.469002468,0.634316617,0.459430537,0.659992974,bayes network,cs
0.562226025,0.916734198,0.514141889,0.545908712,bayesian network,cs
0.562127989,0.916606127,0.514331225,0.546094539,bayesian networks,cs
0.395133723,0.833045192,0.532545271,0.45233837,bcjr algorithm,cs
0.516257391,0.793060396,0.70600237,0.47214579,behavioral software design pattern,cs
0.542286415,0.356608747,0.656379682,0.363009469,belief network,cs
0.208456889,0.385109284,0.731825728,0.324723997,bernstein basis polynomials,cs
0.208503181,0.384906222,0.731751832,0.324536238,bernstein polynomial,cs
0.208638697,0.384272572,0.731413035,0.323944179,bernstein polynomials,cs
0.576805771,0.137629235,0.450552384,0.396073246,big data,cs
0.440057236,0.542020047,0.179820181,0.318374341,binary arithmetic,cs
0.356515394,0.465380265,0.166144329,0.347888458,binary dependent variable,cs
0.368295429,0.496603548,0.177692637,0.35831992,binary file,cs
0.381493378,0.490460725,0.16425494,0.349692356,binary floating point,cs
0.369365247,0.47404681,0.169836275,0.347908574,binary inputs,cs
0.426048927,0.493481442,0.226635056,0.32193358,binary lexicographic code,cs
0.426689462,0.491203823,0.22763223,0.321284712,binary lexicographic codes,cs
0.371043267,0.477355401,0.169110747,0.349142152,binary operation,cs
0.368467379,0.589442748,0.195937747,0.390437202,binary search tree,cs
0.371531567,0.60563927,0.196771214,0.402046473,binary search tree algorithm,cs
0.366587754,0.576834455,0.195451881,0.381345395,binary search trees,cs
0.288567748,0.514719724,0.191517508,0.325169577,binary space partitioning,cs
0.357049798,0.500209044,0.174984314,0.335941445,binary splitting,cs
0.367772386,0.543315901,0.185805221,0.365127381,binary tree,cs
0.368322875,0.542344443,0.185736149,0.364045303,binary trees,cs
0.646171877,0.72035858,0.746303015,0.761667849,bio-inspired computing,cs
0.485678379,0.632410021,0.5128942,0.96893921,biodiversity informatics,cs
0.64605738,0.717458076,0.748112947,0.758955186,biologically inspired computing,cs
0.350152374,0.688545366,0.662067312,0.459819158,bit array,cs
0.343865125,0.683380061,0.662190522,0.45753948,bit sequences,cs
0.410270179,0.586293784,0.611190299,0.195884357,bit slicing,cs
0.400247184,0.576613747,0.591419993,0.217923546,bit string,cs
0.611892743,0.619830406,0.213489715,0.176573757,bitwise operation,cs
0.612024406,0.619810238,0.213554639,0.176591416,bitwise operations,cs
0.458728746,0.786827106,0.536130561,0.425801585,block lanczos algorithm,cs
0.186650727,0.788377775,0.591955059,0.501714477,boltzmann learning rule,cs
0.724452258,0.701140387,0.476105262,0.554156615,bonferroni testing,cs
0.268483889,0.71116079,0.786846179,0.725663825,boolean algebra,cs
0.236738804,0.659659942,0.612612548,0.260571595,boolean function,cs
0.236560333,0.659626054,0.612192051,0.257888474,boolean functions,cs
0.22907158,0.664344432,0.599079794,0.248201484,boolean logic,cs
0.236629818,0.659805658,0.611711815,0.259206109,boolean operators,cs
0.541111675,0.928400291,0.444334569,0.634639843,boosting methods,cs
0.151540438,0.28644406,0.367440218,0.357558376,boundary singularity,cs
0.355407931,0.149649706,0.55678911,0.541913976,bsp tree,cs
0.647733861,0.275134293,0.283073393,0.097583743,buffer overflows,cs
0.632783213,0.271809064,0.287715595,0.1117653,buffer overflowsruntime error detection tools,cs
0.999995394,0.412543663,0.565002014,0.538588478,c4 model,cs
0.176462836,0.559804854,0.435056315,0.725406852,caesar cipher,cs
0.180374899,0.56044714,0.434603989,0.72534293,caesar shift,cs
0.375778108,0.471064664,0.492720877,0.481927052,categorical label,cs
0.315058346,0.529586727,0.574858016,0.510111608,category theory,cs
0.667699404,0.347538248,0.617175769,0.531808259,character recognition,cs
0.633492646,0.480105212,0.5708568,0.503454535,character sets,cs
0.20109867,0.419692677,0.749742057,0.357230691,characteristic polynomial,cs
0.521945844,0.118823535,0.662351986,0.348185842,chi-square automatic interaction detection,cs
0.189217497,0.206880983,0.653819166,0.511863847,child nodes,cs
0.189218696,0.206882813,0.653821593,0.511863138,child vertices,cs
0.565063193,0.152632787,0.360753771,0.23015227,cholesky decomposition,cs
0.511035931,0.480987432,0.307231922,0.772271947,classic ad hoc,cs
0.403941414,0.648419099,0.464873329,0.449069288,classical backpropagation rule,cs
0.484174913,0.566201992,0.92531944,0.510944024,classical computer,cs
0.743556603,0.325969396,0.336820784,0.524729252,classification accuracy,cs
0.393213292,0.652662253,0.593079253,0.418919051,classification algorithms,cs
0.40378435,0.631304468,0.584603744,0.432687518,classification criteria,cs
0.499607394,0.255523335,0.395213649,0.202780587,classification problem,cs
0.402590823,0.633936082,0.586137351,0.431059484,classification tasks,cs
0.369864779,0.124452457,0.549694014,0.521866171,clique trees,cs
0.639510085,0.699123219,0.605355477,0.242483721,clock cycle,cs
0.553380791,0.711840236,0.56693173,0.698297378,clustering algorithms,cs
0.449310859,0.744309525,0.647692065,0.471496464,code libraries,cs
0.549279422,0.740948422,0.563786088,0.458288854,code stylometry,cs
0.552048426,0.767361826,0.584373539,0.401182137,coding theory,cs
0.497866023,0.359819186,0.819772918,0.624773201,cognitive architecture,cs
0.498375088,0.362748456,0.823009601,0.62072296,cognitive architectures,cs
0.513609183,0.387130045,0.844327379,0.582320062,cognitive dimensions,cs
0.518396281,0.389238213,0.84198328,0.587864538,cognitive modeling,cs
0.712032381,0.780245845,0.807815773,0.57049498,cognitive robotics,cs
0.536708895,0.408265063,0.841029153,0.600911335,cognitive science,cs
0.526147315,0.391937359,0.843231299,0.586314209,cognitive theories,cs
0.310623688,0.585479479,0.735683132,0.621481453,combinatorial game theory,cs
0.481209769,0.426520104,0.758946082,0.455283172,communications network,cs
0.431057232,0.398612541,0.593361423,0.458453337,comparison sort,cs
0.130445037,0.654676364,0.629250387,0.423734504,comparison sorting algorithms,cs
0.429079089,0.394876163,0.592129596,0.457865101,comparison sorts,cs
0.590454129,0.230431431,0.302403953,0.217667982,compilation error,cs
0.58972753,0.227208722,0.302259834,0.218784279,compilation errors,cs
0.73166495,0.29479022,0.258353167,0.534046223,compiler correctness,cs
0.164193186,0.554396785,0.742013883,0.629008394,compiler design,cs
0.177629093,0.542205309,0.745598596,0.633185759,compiler optimization,cs
0.176979194,0.542912147,0.74544171,0.633019145,compiler optimization technique,cs
0.162043021,0.556288784,0.741329789,0.628372501,compiler theory,cs
0.471901429,0.111005008,0.493308387,0.227136083,complex functions,cs
0.488106991,0.094340458,0.506226977,0.228339994,complex vector spaces,cs
0.312922234,0.24450321,0.333135045,0.728667588,complexity theory,cs
0.346706817,0.558927058,0.548927759,0.392210727,composition filters,cs
0.464265924,0.62508299,0.58697959,0.871300249,compound logic gates,cs
0.544092081,0.477465762,0.401490077,0.074256713,compressed data,cs
0.59756674,0.678765449,0.593692339,0.298703951,computation time,cs
0.288315538,0.556343398,0.827671221,0.562485681,computational complexity theory,cs
0.444545142,0.624876481,0.791597703,0.643933809,computational engineering,cs
0.575933916,0.655231867,0.802745132,0.510950655,computational ethics,cs
0.441837756,0.543378277,0.789109838,0.660203123,computational fluid dynamics,cs
0.444041979,0.557256269,0.812719605,0.618374547,computational framework,cs
0.457745394,0.605356075,0.793445212,0.571571185,computational intelligence,cs
0.349297755,0.651111663,0.813274573,0.600792546,computational learning theory,cs
0.421766563,0.636393146,0.796176302,0.620767561,computational linguistics,cs
0.455691711,0.627492748,0.791203184,0.642846269,computational materials science,cs
0.421760565,0.634369094,0.785072872,0.716269451,computational mathematics,cs
0.431504039,0.552056142,0.809672869,0.619593264,computational models,cs
0.576394799,0.650437339,0.800584373,0.513220648,computational morality,cs
0.510101047,0.942620884,0.654868512,0.559909445,computational neural network models,cs
0.426648675,0.61276169,0.779787919,0.672049323,computational physics,cs
0.353662775,0.543615651,0.839214951,0.596416371,computational problems,cs
0.446129631,0.565429988,0.821434475,0.597146018,computational resource,cs
0.442321168,0.564053042,0.826171097,0.595905812,computational resources,cs
0.437990585,0.497184681,0.80683006,0.754472627,computational statistics,cs
0.446427699,0.557865335,0.81551528,0.615059802,computational system,cs
0.376172954,0.163217534,0.335940875,0.282585703,computationally intractable,cs
0.199427759,0.586150219,0.798373163,0.731310315,compute arithmetic operations,cs
0.542804578,0.681976044,0.86017585,0.601877233,computer architecture,cs
0.491717025,0.725272747,0.889224383,0.549704447,computer code,cs
0.580338778,0.694264168,0.825370691,0.556172373,computer ethics,cs
0.481245619,0.689581664,0.921993377,0.624743714,computer games,cs
0.511675962,0.675421192,0.89275038,0.622794916,computer graphics,cs
0.590145933,0.6471355,0.887249332,0.586860512,computer hardware unit,cs
0.566854481,0.704331799,0.906329722,0.607496593,computer interaction,cs
0.521584077,0.690696838,0.883656169,0.571433142,computer language,cs
0.504929477,0.757695529,0.891095459,0.616170149,computer learning,cs
0.56281501,0.662714907,0.902759665,0.651234079,computer memory,cs
0.529237846,0.636374304,0.912316544,0.579691288,computer network,cs
0.516696032,0.619277084,0.911483753,0.573712486,computer network architecture,cs
0.567053279,0.638128794,0.893324368,0.640061729,computer processors,cs
0.5203056,0.690348789,0.893910246,0.581166111,computer program,cs
0.489451957,0.733242737,0.885530778,0.547057462,computer program source code,cs
0.498046397,0.70980143,0.884130882,0.588028245,computer programming,cs
0.524897671,0.68341132,0.89472411,0.588539165,computer programs,cs
0.523702427,0.708853999,0.855067477,0.612559808,computer science,cs
0.526674161,0.710086728,0.847417039,0.611505294,computer science fields,cs
0.582593176,0.695874354,0.835856195,0.565766523,computer security,cs
0.549140627,0.709853975,0.89712244,0.612524425,computer skills,cs
0.561975248,0.653703946,0.887778982,0.586813003,computer systems,cs
0.535333728,0.684019641,0.905997576,0.617868322,computer vision,cs
0.580657354,0.577367775,0.831638408,0.606299977,computing machinery,cs
0.585625206,0.571810767,0.829306661,0.603424267,computing resources,cs
0.179631945,0.663423839,0.720795748,0.690948436,concurrent pattern calculus,cs
0.047368426,0.618182369,0.515157229,0.45619252,conditional expression,cs
0.800174505,0.316357456,0.320139384,0.546824818,confidence score,cs
0.569920754,0.498166015,0.626866498,0.510444138,conformational analysis,cs
0.563438779,0.346332201,0.913282593,0.671629222,connected wireless device,cs
0.620034874,0.815005546,0.667397172,0.667173009,constraint logic programming,cs
0.62081069,0.815798788,0.666977104,0.667504648,constraint programming,cs
0.509934484,0.482269839,0.288530519,0.546405128,continuous function,cs
0.415561506,0.462306319,0.165513068,0.518105386,continuous unimodal function,cs
0.311695527,0.563199874,0.624361473,0.375218411,control theory,cs
0.400637142,0.783679807,0.668327993,0.827852283,conventional dynamic memory allocation libraries,cs
0.536601384,0.962929283,0.639049861,0.54312752,convolutional neural networks,cs
0.581523951,0.689092105,0.524773828,0.517368634,copyright investigation,cs
0.27745855,0.423187937,0.592495394,0.455838264,correlation matrix,cs
0.747834021,0.49941179,0.628893323,0.444443084,cost allocation,cs
0.581489343,0.623653821,0.901447521,0.664316557,cpu cache,cs
0.278839889,0.421474862,0.592724847,0.453529465,cross-correlation matrix,cs
0.33593615,0.722950435,0.680555709,0.621486879,current databases,cs
0.514709032,0.713853898,0.628236621,0.677502638,data compression,cs
0.478854274,0.628696546,0.615576186,0.643880739,data elements,cs
0.532988981,0.428768745,0.39628746,0.871343333,data encryption standard,cs
0.41816081,0.723900768,0.647798253,0.674799997,data mining,cs
0.45956538,0.638781383,0.636953535,0.65350257,data model,cs
0.466704854,0.66262974,0.644948992,0.671961204,data modeling,cs
0.475332637,0.647181112,0.609684568,0.659751856,data objects,cs
0.445867288,0.616535461,0.60499554,0.618615159,data set,cs
0.449509633,0.617271718,0.606178712,0.621971968,data sets,cs
0.478355553,0.698399583,0.591771948,0.641322213,data sparsity,cs
0.415046747,0.712792321,0.614761178,0.665601381,data storage,cs
0.527626967,0.70633029,0.596493714,0.68977645,data stream clustering,cs
0.538423018,0.69907936,0.633709248,0.684324382,data streaming algorithms,cs
0.46975711,0.655310529,0.622394071,0.664992149,data structures,cs
0.493401102,0.657977949,0.637973492,0.657067344,data visualization,cs
0.415672073,0.716152878,0.632508009,0.671772994,data warehouse,cs
0.317509092,0.74242707,0.669011273,0.654401196,database columns,cs
0.747476585,0.303140179,0.296828886,0.20428134,database dumps,cs
0.335816648,0.761987197,0.675065077,0.661764946,database model,cs
0.370988316,0.789314221,0.66089305,0.644634899,database normalization,cs
0.336353708,0.756293382,0.674265885,0.654268178,database relation,cs
0.341217015,0.76329144,0.678416152,0.669130032,database systems,cs
0.316736307,0.740255616,0.665759181,0.656271418,database table,cs
0.309097034,0.802223676,0.645359627,0.632272236,database tuning,cs
0.504963003,0.728304829,0.371089463,0.629262658,de morgan's law,cs
0.494720275,0.594142294,0.219198684,0.305442144,decimal computers,cs
0.516746271,0.362024888,0.620208287,0.337630174,decision boundaries,cs
0.514887754,0.361861302,0.62047133,0.337397922,decision boundary,cs
0.47628805,0.23511859,0.41343053,0.19179931,decision making problems,cs
0.525968062,0.358386881,0.633053836,0.34429928,decision network,cs
0.497661298,0.28207669,0.667822647,0.295851832,decision tree technique,cs
0.49780021,0.282461879,0.667613957,0.296118916,decision trees,cs
0.559980139,0.343776376,0.243789417,0.234953051,decompressed data,cs
0.251504471,0.917438164,0.613965757,0.480350531,deep learning,cs
0.471810434,0.973213541,0.616689926,0.548585811,deep neural networks,cs
0.249866293,0.910928087,0.616189257,0.480207809,deep reinforcement learning,cs
0.672281822,0.587178133,0.243087579,0.205568386,delay-tolerant networking,cs
0.350943382,0.551441063,0.651143997,0.624289837,description logics,cs
0.482989251,0.270183006,0.865419785,0.509585479,descriptive statistics,cs
0.561944277,0.655092363,0.965348101,0.613825989,desktop computers,cs
0.700010805,0.503851212,0.597123278,0.296012668,deterministic algorithm,cs
0.514917025,0.43050282,0.392734026,0.898385021,deterministic encryption,cs
0.515499194,0.430614985,0.393236354,0.89566351,deterministic encryption scheme,cs
0.516635535,0.429972874,0.392926123,0.893941357,deterministic encryption schemes,cs
0.223349988,0.399445066,0.800862165,0.638392267,deterministic global optimization,cs
0.465517428,0.306826934,0.356876855,0.207580032,differentiable function,cs
0.171984036,0.525146524,0.767454383,0.452338181,differential calculus,cs
0.159220751,0.519097931,0.778831303,0.450778624,differential equations,cs
0.812183862,0.832240848,0.609040733,0.545821708,digital data,cs
0.855657614,0.784903772,0.604272732,0.524587155,digital filter,cs
0.853659039,0.784446581,0.605317439,0.523461739,digital filters,cs
0.810396351,0.837443099,0.608541923,0.551003203,digital information,cs
0.833671172,0.808352128,0.606959154,0.526564848,digital signal,cs
0.813672777,0.833565191,0.608707212,0.547924439,digital signatures,cs
0.349129705,0.268750301,0.641640335,0.53508463,dimensional space,cs
0.351519849,0.64086435,0.7171871,0.326062669,directed acyclic graph,cs
0.564207575,1,0.60530087,0.503205948,discrete time recurrent neural networks,cs
0.480612345,0.283935736,0.368742392,0.163975889,discriminant function analysis,cs
0.3257263,0.297800918,0.659658919,0.435490417,distance metric,cs
0.175615314,0.775524857,0.67478535,0.477334051,distance metric learning,cs
0.498782514,0.784866495,0.541757031,0.72565086,distributed algorithms,cs
0.510428641,0.793638043,0.549891799,0.72193613,distributed application,cs
0.524697607,0.800486411,0.558351108,0.722465784,distributed application architecture,cs
0.523102587,0.889816162,0.792798066,0.537054128,distributed artificial intelligence,cs
0.522379326,0.887597382,0.793013331,0.538992479,distributed artificial intelligence systems,cs
0.549271447,0.802187218,0.568865364,0.75164113,distributed computing,cs
0.552910606,0.802501963,0.570803476,0.754420225,distributed computing environment,cs
0.511773593,0.780639,0.557701942,0.709024085,distributed data stores,cs
0.513545964,0.785213259,0.558315005,0.707180877,distributed information processing,cs
0.524581881,0.810243133,0.561814885,0.695790098,distributed object communication,cs
0.492843194,0.787456617,0.538259518,0.725542083,distributed search,cs
0.546603348,0.72142306,0.567938951,0.699567811,distribution-based clustering,cs
0.752761667,0.259767326,0.304170607,0.350857642,double-ended priority queue,cs
0.653466814,0.529134245,0.480477443,0.72609727,doubly linked list,cs
0.481336759,0.314126533,0.523823868,0.827294965,dynamic array,cs
0.489834092,0.312206179,0.523462978,0.841495663,dynamic compilation,cs
0.474162926,0.311014037,0.523834226,0.822124535,dynamic prefetched arrays,cs
0.492652792,0.296693047,0.522075176,0.864948552,dynamic table,cs
0.466255411,0.302316146,0.521717344,0.800296073,dynamically allocated array,cs
0.333350863,0.656528826,0.43739536,0.608732356,ecb mode,cs
0.396036255,0.665753377,0.39842151,0.499671448,edge contraction,cs
0.57488618,0.877814933,0.410208519,0.520978145,eigenmode expansion,cs
0.47864825,0.84458999,0.534869107,0.448630642,eigenvalue algorithm,cs
0.700236038,0.548037016,0.643515728,0.796688838,electronic signature,cs
0.701514077,0.548429684,0.643238151,0.796692756,electronic signatures,cs
0.462575074,0.612788342,0.571427086,0.686899485,embedded data,cs
0.437050661,0.304425414,0.204901035,0.457562462,empty set,cs
0.636758534,0.699638349,0.512708107,0.40120665,encrypted data,cs
0.509376732,0.423696251,0.374944555,0.875622062,encryption algorithm,cs
0.507993364,0.418932032,0.363413945,0.871304546,encryption keys,cs
0.34952978,0.714165196,0.213103247,0.505093317,enhanced double hashing,cs
0.271245228,0.815823211,0.613682443,0.481615875,ensemble learning method,cs
0.575695887,0.248860121,0.310340786,0.167589246,error detection,cs
0.576795426,0.240305337,0.315913071,0.197900083,error message,cs
0.323964156,0.288758912,0.656025214,0.486804696,euclidean distance,cs
0.325280615,0.287109016,0.655568568,0.491096567,euclidean space,cs
0.667300904,0.874132639,0.596711936,0.800483941,evolutionary computation,cs
0.526454253,0.947222077,0.46514574,0.646369664,explicit regression gradient boosting algorithms,cs
0.520740253,0.015565229,0.480684075,0.48471319,exponential convergence,cs
0.424036981,0.485282038,0.294374666,0.374028847,external node,cs
0.357756329,0.095868905,0.376700694,0.506795791,fast fourier transform,cs
0.640296734,0.327989437,0.566458192,0.591956068,feature detection,cs
0.276418622,0.828623174,0.620781583,0.445128256,feature learning,cs
0.513359281,0.17238247,0.626429624,0.452401146,feature maps,cs
0.484427798,0.413385161,0.650943511,0.58880317,feature oriented programming,cs
0.851484342,0.348325862,0.620694368,0.522892649,feedback connections,cs
0.539945686,0.923106427,0.621662675,0.557925413,feedforward neural network,cs
0.684165638,0.276805613,0.30330812,0.155392249,file overwrites,cs
0.508735093,0.718912963,0.145216153,0.391975306,finite element methods,cs
0.414343177,0.386453472,0.098749369,0.335723819,finite graph,cs
0.742371407,0.228692783,0.309070874,0.37531899,first-order reduction,cs
0.501689846,0.730127085,0.377117965,0.617844179,fitts's law,cs
0.673523967,0.658014699,0.517191369,0.617104709,flux architecture,cs
0.355255543,0.469816278,0.640833092,0.668447,formal knowledge representation languages,cs
0.352366043,0.467584384,0.642139551,0.663843313,formal language theory,cs
0.758115553,0.498349422,0.312094351,0.489480863,fully connected layers,cs
0.765123432,0.491924859,0.295729642,0.478194852,fully recurrent neural networks,cs
0.593457837,0.426673621,0.653319811,0.509912683,function interaction,cs
0.604594258,0.537936379,0.510339929,0.6278219,function join,cs
0.587541571,0.442041343,0.657316649,0.515127751,functional analysis,cs
0.523538257,0.348595473,0.790171351,0.63975537,functional architecture,cs
0.264690918,0.375261709,0.234679828,0.418095949,fuzzy class,cs
0.275761297,0.335161958,0.261796987,0.404856148,fuzzy classification,cs
0.256371679,0.34430733,0.255194128,0.403838579,fuzzy classification predicate,cs
0.27497426,0.348729134,0.254088969,0.378833808,fuzzy description logics,cs
0.24030196,0.36031488,0.244351284,0.406214989,fuzzy markup language,cs
0.274132236,0.348104599,0.254357451,0.380968911,fuzzy propositional function,cs
0.257929586,0.32227191,0.267675516,0.435495654,fuzzy set,cs
0.260845122,0.323194013,0.267390888,0.432177185,fuzzy sets,cs
0.636241519,0.440052809,0.823575569,0.709834691,gaming systems,cs
0.315335417,0.588342122,0.102189026,0.62117839,garbage collection,cs
0.339063596,0.581473324,0.477113794,0.608245615,gated recurrent units,cs
0.810536543,0.278983611,0.316798096,0.362251662,gaussian elimination,cs
0.505874058,0.611195879,0.647625851,0.999854531,gene analysis,cs
0.448803672,0.364580625,0.454291694,0.61987465,general-purpose language,cs
0.379688854,0.561350167,0.555208308,0.260462114,generalised loop splitting,cs
0.167160113,0.391197792,0.523761829,0.498081708,generalized additive models,cs
0.473123356,0.259948508,0.37184458,0.144591471,generative adversarial networks,cs
0.357847809,0.576048165,0.613814402,0.467107636,generative model,cs
0.357850487,0.575888835,0.613830833,0.466780868,generative models,cs
0.526229269,0.459940013,0.152114025,0.383174428,generic programming,cs
0.505955673,0.611156187,0.647630521,0.999995305,genetic representation,cs
0.505958443,0.611154328,0.647633364,1,genetic representations,cs
0.48924748,0.665918842,0.435140957,0.559627702,gibbs sampling,cs
0.511911599,0.377031867,0.691793533,0.266007882,global minimum,cs
0.50920731,0.398889708,0.736924637,0.272367777,global solutions,cs
0.494283748,0.401557805,0.715924471,0.272279603,global view,cs
0.502292757,0.746648002,0.558679912,0.423030976,golay code,cs
0.432055127,0.6843881,0.393317877,0.520643823,gompertz curve,cs
0.423127411,0.092145478,0.525567489,0.503039506,gradient boosted trees,cs
0.529476623,0.946055176,0.442946014,0.667053633,gradient boosting,cs
0.528258182,0.946510165,0.453165637,0.65716488,gradient boosting algorithms,cs
0.29148178,0.741253352,0.494720292,0.333043244,gradient descent,cs
0.370713794,0.658059143,0.738851542,0.310087434,graph algorithms,cs
0.368505647,0.653790982,0.734242647,0.310415155,graph embedding,cs
0.349092002,0.660085036,0.739577177,0.330405591,graph isomorphism,cs
0.383262243,0.67536372,0.754919809,0.3074405,graph minor theory,cs
0.375106965,0.665417111,0.745833218,0.309618904,graph theory,cs
0.607094586,0.288728531,0.687890932,0.664898288,graphic design,cs
0.609431023,0.290075893,0.686475595,0.664465203,graphic representation,cs
0.495460192,0.600346847,0.70964202,0.455935137,graphical program elements,cs
0.625606956,0.618983187,0.850534044,0.727652502,graphics system,cs
0.565132155,0.595199207,0.433743626,0.659346056,hadamard product,cs
0.469886384,0.274794541,0.722641752,0.404253389,handwriting recognition,cs
0.708070902,0.473783527,0.746367263,0.605539227,hardware description language,cs
0.702843672,0.474721638,0.739687682,0.602567272,hardware links,cs
0.699641748,0.478813223,0.738135739,0.600023796,hardware technologies,cs
0.476601932,0.742994375,0.193216612,0.538819015,hash functions,cs
0.48273549,0.742751904,0.193026727,0.544125228,hash tables,cs
0.589415105,0.246134138,0.351763935,0.208069364,hashing problem,cs
0.225107539,0.80122703,0.595050103,0.482562486,hebbian learning,cs
0.290165274,0.69433504,0.475758989,0.695150457,helmholtz machine,cs
0.289927257,0.694320979,0.475894752,0.695122342,helmholtz machines,cs
0.323305115,0.380665824,0.463664971,0.193367073,heterogeneous networks,cs
0.293908992,0.194239707,0.268461066,0.348964849,hidden layer,cs
0.294097451,0.193999164,0.268364234,0.348737003,hidden layers,cs
0.337055715,0.234821197,0.707976392,0.513176523,hilbert spaces,cs
0.190341903,0.78968938,0.592500403,0.500087135,hopfield learning rule,cs
0.577973349,0.788342933,0.590057881,0.38814185,huffman coding,cs
0.609012362,0.542315181,0.848626681,0.592077448,human-centered computing,cs
0.61107806,0.514631244,0.866607427,0.592701424,humancomputer interaction,cs
0.4237985,0.678500931,0.436565998,0.689157016,hurwitz stable,cs
0.195037313,0.469402446,0.607731485,0.463913355,identity matrix,cs
0.418650314,0.469060523,0.575792387,0.806923811,image file formats,cs
