PCA Tuned 0,PCA Tuned 1,PCA Tuned 2,PCA Tuned 3,phrase,label
0.32666028,0.129942485,0.527650395,0.476114656,bit sequences,cs
0.586373682,0.278367266,0.592533786,0.488648021,bit slicing,cs
0.42526363,0.20912233,0.61535554,0.518373961,bit string,cs
0.16734449,0.256029875,0.538303159,0.52038025,bitwise operation,cs
0.13775949,0.358622376,0.538763417,0.543300835,bitwise operations,cs
0.225865852,0.41782387,0.473629981,0.484340246,block lanczos algorithm,cs
0.342910514,0.387830734,0.2652446,0.319801128,boltzmann learning rule,cs
0.445533848,0.311633458,0.502871377,0.397747454,bonferroni testing,cs
0.140240665,0.304491378,0.456567087,0.324229338,boolean algebra,cs
0.214284712,0.2724948,0.517340937,0.53736504,boolean function,cs
0.241204992,0.270856349,0.484362926,0.539412717,boolean functions,cs
0.106406485,0.320902661,0.411805419,0.266237605,boolean logic,cs
0.426243044,0.228541983,0.40252032,0.631758139,boolean operators,cs
0.207903421,0.433259811,0.371099301,0.500787544,boosting methods,cs
0.209628264,0.220752751,0.454757597,0.317611709,boundary singularity,cs
0.689787665,0.187761995,0.513689719,0.343775465,bsp tree,cs
0.514237103,0.466993885,0.75217787,0.603244506,buffer overflows,cs
0.409993006,0.677354413,0.781256373,0.643001914,buffer overflowsruntime error detection tools,cs
0.522548418,0.297037701,0.539963104,0.65139572,c4 model,cs
0.302536363,0.35175734,0.605796971,0.357575973,caesar cipher,cs
0.561376896,0.360395166,0.50039861,0.35575573,caesar shift,cs
0.245196961,0.561732679,0.417052177,0.093054565,categorical label,cs
0.148983733,0.437834089,0.543653825,0.085991376,category theory,cs
0.506443174,0.368037862,0.138500039,0.236274134,character recognition,cs
0.511276251,0.211884919,0.242698787,0.330143288,character sets,cs
0.084829876,0.316783225,0.663271665,0.219857317,characteristic polynomial,cs
0.258608952,0.359915202,0.401820648,0.501769291,chi-square automatic interaction detection,cs
0.406148859,0.351093117,0.463629681,0.523764539,child nodes,cs
0.437756078,0.16853422,0.446506371,0.318161222,child vertices,cs
0.531824574,0.426904151,0.847350504,0.326318381,cholesky decomposition,cs
0.238176166,0.328065668,0.513597616,0.306842028,classic ad hoc,cs
0.108806557,0.4559166,0.472998699,0.254114464,classical backpropagation rule,cs
0.230403466,0.345062663,0.399592198,0.725203592,classical computer,cs
0.222243706,0.718195679,0.446194066,0.371408214,classification accuracy,cs
0.090643772,0.662392939,0.482374435,0.40163639,classification algorithms,cs
0.369545748,0.819964002,0.373365041,0.222502627,classification criteria,cs
0.298756686,0.820304671,0.660887214,0.200521197,classification problem,cs
0.209174355,0.7852188,0.364648716,0.358166381,classification tasks,cs
0.710725324,0.122496207,0.517983756,0.299959947,clique trees,cs
0.474020294,0.260194735,0.617999272,0.484994989,clock cycle,cs
0.100788655,0.397704447,0.506775774,0.390579958,clustering algorithms,cs
0.237129018,0.491179958,0.469888709,0.679671806,code libraries,cs
0.118235439,0.353768351,0.370218541,0.405088362,code stylometry,cs
0.134352869,0.419902895,0.478454816,0.347913992,coding theory,cs
0.151280557,0.282339403,0.287341607,0.332317756,cognitive architecture,cs
0.119997863,0.409323613,0.320676666,0.376638703,cognitive architectures,cs
0.212938049,0.37994455,0.317629739,0.235316671,cognitive dimensions,cs
0.122263624,0.41672054,0.279718796,0.251875058,cognitive modeling,cs
0.170381197,0.370872354,0.33307641,0.481088143,cognitive robotics,cs
0.193219655,0.45685796,0.281934612,0.239015259,cognitive science,cs
0.149151012,0.451810583,0.395242597,0.108931035,cognitive theories,cs
0.136273702,0.30950093,0.4346879,0.231134109,combinatorial game theory,cs
0.450476878,0.472179947,0.358501313,0.89201172,communications network,cs
0.382288139,0.341254266,0.488325196,0.171430142,comparison sort,cs
0.154501254,0.558981779,0.514740939,0.398590826,comparison sorting algorithms,cs
0.4690793,0.368103165,0.406605644,0.201846897,comparison sorts,cs
0.466398481,0.709903,0.864309043,0.623880449,compilation error,cs
0.48758174,0.740366889,0.866946889,0.613943825,compilation errors,cs
0.207291725,0.696121513,0.475926582,0.367829823,compiler correctness,cs
0.173087585,0.418170994,0.401293866,0.625585406,compiler design,cs
0.155073623,0.47504815,0.504438623,0.646954407,compiler optimization,cs
0.082967954,0.46252095,0.456058754,0.55987181,compiler optimization technique,cs
0.088437043,0.468865371,0.497459518,0.290648384,compiler theory,cs
0.176917756,0.312146936,0.52652952,0.50803007,complex functions,cs
0.203198125,0.187109532,0.601933057,0.488934361,complex vector spaces,cs
0.069610289,0.365994923,0.525951691,0.219092822,complexity theory,cs
0.19385856,0.383113472,0.517239982,0.373369416,composition filters,cs
0.117295577,0.344915646,0.469055599,0.364815917,compound logic gates,cs
0.149751319,0.491350227,0.603304717,0.557193194,compressed data,cs
0.324831722,0.248051476,0.34391294,0.464368148,computation time,cs
0.043185958,0.394691208,0.479119648,0.254252916,computational complexity theory,cs
0.118032852,0.361604754,0.390834931,0.550395689,computational engineering,cs
0.232603311,0.622919464,0.1768054,0.217671766,computational ethics,cs
0.147385489,0.193360365,0.506952768,0.351935035,computational fluid dynamics,cs
0.048229626,0.421161631,0.361191933,0.372030866,computational framework,cs
0.164243708,0.44723772,0.374911292,0.43442111,computational intelligence,cs
0.110887417,0.417922746,0.201773249,0.243233518,computational learning theory,cs
0.140702373,0.393482299,0.253506826,0.226223423,computational linguistics,cs
0.17709288,0.422167516,0.415394498,0.417019429,computational materials science,cs
0.064854515,0.345024924,0.432228561,0.348685525,computational mathematics,cs
0.079192349,0.326628244,0.452923458,0.317932912,computational models,cs
0.225661796,0.43520668,0.269409459,0.142814065,computational morality,cs
0.041580914,0.376160364,0.451306731,0.345061823,computational neural network models,cs
0.117002225,0.283956215,0.507670481,0.347878703,computational physics,cs
0.329278932,0.664718877,0.629477619,0.265986627,computational problems,cs
0.231627348,0.384749718,0.259127414,0.520675014,computational resource,cs
0.26737105,0.445166772,0.176736919,0.529052386,computational resources,cs
0.174532459,0.439691961,0.463083088,0.344207182,computational statistics,cs
0.068520191,0.391217622,0.420883487,0.487582234,computational system,cs
0.452111949,0.516789995,0.680615313,0.308743834,computationally intractable,cs
0.129112066,0.375398236,0.494316379,0.498817163,compute arithmetic operations,cs
0.137239828,0.351989283,0.446129357,0.667298136,computer architecture,cs
0.176845903,0.347971587,0.49509828,0.631691973,computer code,cs
0.159447118,0.574377576,0.286820711,0.380408419,computer ethics,cs
0.35732997,0.251711321,0.459971194,0.698332544,computer games,cs
0.214347285,0.303044739,0.493053174,0.711820269,computer graphics,cs
0.237071643,0.357592427,0.505428514,0.812553163,computer hardware unit,cs
0.252412685,0.317249275,0.381607222,0.625264815,computer interaction,cs
0.160436966,0.338885869,0.33568853,0.586140118,computer language,cs
0.165987026,0.363254494,0.32086016,0.589721731,computer learning,cs
0.249644296,0.397607049,0.493476986,0.678320022,computer memory,cs
0.22445701,0.375100615,0.457479434,0.750362146,computer network,cs
0.130807365,0.390833401,0.45673712,0.683859906,computer network architecture,cs
0.235472047,0.366379397,0.546328286,0.789013294,computer processors,cs
0.170352283,0.390685193,0.452355129,0.638845734,computer program,cs
0.154052576,0.436364785,0.478503835,0.613800581,computer program source code,cs
0.170962459,0.377711371,0.417026723,0.587586232,computer programming,cs
0.173132964,0.40063291,0.457348828,0.6797924,computer programs,cs
0.178109412,0.386981773,0.460201178,0.578309649,computer science,cs
0.195247163,0.437914667,0.399414114,0.539675456,computer science fields,cs
0.319614232,0.544178181,0.473003198,0.809474599,computer security,cs
0.250065896,0.342517593,0.242277008,0.631684046,computer skills,cs
0.181674806,0.399780783,0.446272794,0.746730728,computer systems,cs
0.180296058,0.311126863,0.411158289,0.555837286,computer vision,cs
0.236739107,0.333280044,0.4782843,0.856033871,computing machinery,cs
0.319103305,0.441892392,0.388822334,0.835106991,computing resources,cs
0.061021478,0.34817758,0.538485919,0.236940301,concurrent pattern calculus,cs
0.285935824,0.22618496,0.324307744,0.160444346,conditional expression,cs
0.336294971,0.570278016,0.232991889,0.282898286,confidence score,cs
0.080409423,0.541499496,0.374055319,0.18982157,conformational analysis,cs
0.41137848,0.389131576,0.416279218,0.995554577,connected wireless device,cs
0.072615616,0.408587048,0.383414265,0.376813555,constraint logic programming,cs
0.160823279,0.426757935,0.2984581,0.419868323,constraint programming,cs
0.262758706,0.318519947,0.461204509,0.6178759,continuous function,cs
0.231822028,0.327083342,0.5524141,0.51387153,continuous unimodal function,cs
0.15763028,0.469840078,0.477113722,0.258551106,control theory,cs
0.150990456,0.439845165,0.600840181,0.611304507,conventional dynamic memory allocation libraries,cs
0.117422553,0.336709974,0.421160792,0.37472232,convolutional neural networks,cs
0.568827031,0.694259103,0.412517975,0.466665524,copyright investigation,cs
0.085669342,0.414676396,0.647125746,0.307014091,correlation matrix,cs
0.255457598,0.600790668,0.688513272,0.524871035,cost allocation,cs
0.304133699,0.408404841,0.67414989,0.765044674,cpu cache,cs
0.119464326,0.392929669,0.645283231,0.339981774,cross-correlation matrix,cs
0.289168263,0.503048189,0.464690649,0.559994059,current databases,cs
0.200518927,0.390381238,0.648132911,0.735959355,data compression,cs
0.149438745,0.382358908,0.555772985,0.496009708,data elements,cs
0.276541284,0.565050664,0.567223824,0.84599645,data encryption standard,cs
0.271897804,0.481827101,0.596577107,0.636774521,data mining,cs
0.053115612,0.421634126,0.564090506,0.427797023,data model,cs
0.076167675,0.407115458,0.533024516,0.436351775,data modeling,cs
0.203687209,0.282234755,0.616910025,0.522374796,data objects,cs
0.157816084,0.431831988,0.551693811,0.610218422,data set,cs
0.138917616,0.428319039,0.591909999,0.528334917,data sets,cs
0.218704366,0.455046015,0.448500339,0.417773367,data sparsity,cs
0.303645705,0.435182519,0.587699109,0.805534231,data storage,cs
0.140974669,0.378698334,0.637202918,0.535143916,data stream clustering,cs
0.18316227,0.379005218,0.557684366,0.681224967,data streaming algorithms,cs
0.129652451,0.415632066,0.561889684,0.563169325,data structures,cs
0.147920926,0.313378635,0.495314195,0.530373066,data visualization,cs
0.381321911,0.471023336,0.562369743,0.755876417,data warehouse,cs
0.26656177,0.4471709,0.480998986,0.526575852,database columns,cs
0.304961041,0.538132259,0.685202727,0.675264888,database dumps,cs
0.06434658,0.473138764,0.552337723,0.50098956,database model,cs
0.16994971,0.50500747,0.530600617,0.531374418,database normalization,cs
0.237893194,0.481134571,0.514045613,0.446522946,database relation,cs
0.165627689,0.505791162,0.514873471,0.706592112,database systems,cs
0.210825798,0.47165565,0.611841495,0.520339737,database table,cs
0.127574116,0.490771462,0.497327848,0.49994174,database tuning,cs
0.553761423,0.542090073,0.428122058,0.249029366,de morgan's law,cs
0.187031045,0.434147678,0.608985655,0.726951729,decimal computers,cs
0.291220317,0.573293446,0.451229839,0.202657684,decision boundaries,cs
0.348667755,0.517398552,0.493496707,0.265823469,decision boundary,cs
0.324924893,0.724854834,0.61294106,0.270260771,decision making problems,cs
0.188716178,0.514926014,0.366095173,0.527406063,decision network,cs
0.168462498,0.339565116,0.432143034,0.232892855,decision tree technique,cs
0.341136811,0.387567944,0.466608555,0.207253766,decision trees,cs
0.129535154,0.558389012,0.598424015,0.466492355,decompressed data,cs
0.290054564,0.36921628,0.058770896,0.382666645,deep learning,cs
0.12412791,0.330446817,0.427139163,0.448442535,deep neural networks,cs
0.200140764,0.4327188,0.175938613,0.35215561,deep reinforcement learning,cs
0.317975926,0.536905181,0.512255437,0.595106209,delay-tolerant networking,cs
0.241556555,0.444824655,0.380832277,0.341769497,description logics,cs
0.185568873,0.496299302,0.546015105,0.302147355,descriptive statistics,cs
0.410899394,0.362817216,0.480906546,0.972241696,desktop computers,cs
0.017426436,0.417307364,0.6078528,0.345010765,deterministic algorithm,cs
0.125394966,0.447985579,0.679916828,0.67349788,deterministic encryption,cs
0.104794901,0.457885293,0.659348253,0.650611988,deterministic encryption scheme,cs
0.112059833,0.471582271,0.690370875,0.644455142,deterministic encryption schemes,cs
0.051058147,0.426515163,0.602668719,0.489648954,deterministic global optimization,cs
0.140077587,0.336765932,0.588986269,0.371536608,differentiable function,cs
0.07768385,0.388681991,0.52008203,0.229302372,differential calculus,cs
0.055939795,0.374161469,0.639771233,0.247736219,differential equations,cs
0.190119137,0.384929037,0.483360527,0.642761419,digital data,cs
0.196598775,0.408352668,0.430970702,0.554447562,digital filter,cs
0.206581609,0.421730578,0.402765739,0.615424738,digital filters,cs
0.367792993,0.463893952,0.333830572,0.810206357,digital information,cs
0.310168159,0.245686884,0.51040203,0.731166381,digital signal,cs
0.402471608,0.488808574,0.405112246,0.645370663,digital signatures,cs
0.276387332,0.109596982,0.626533163,0.465054059,dimensional space,cs
0.143545375,0.196125784,0.490733064,0.318518002,directed acyclic graph,cs
0.12167719,0.305921873,0.497396745,0.393134124,discrete time recurrent neural networks,cs
0.056684333,0.513873696,0.565946719,0.22831638,discriminant function analysis,cs
0.297134743,0.309237308,0.70240129,0.597566763,distance metric,cs
0.15020004,0.365541135,0.41381982,0.408366368,distance metric learning,cs
0.065985317,0.390332984,0.47955837,0.605496287,distributed algorithms,cs
0.175485845,0.436189898,0.400150298,0.819645811,distributed application,cs
0.106578725,0.414924069,0.423849309,0.735493711,distributed application architecture,cs
0.136875709,0.415299313,0.399541297,0.572214377,distributed artificial intelligence,cs
0.136881262,0.447977485,0.400617777,0.620488905,distributed artificial intelligence systems,cs
0.122447785,0.361665803,0.518196825,0.711976423,distributed computing,cs
0.129303655,0.375463208,0.502108574,0.760048574,distributed computing environment,cs
0.202713387,0.472816668,0.540077513,0.74658103,distributed data stores,cs
0.149829662,0.44723791,0.462920401,0.685356278,distributed information processing,cs
0.164698967,0.282360757,0.429310756,0.553189365,distributed object communication,cs
0.244305841,0.511304602,0.500361023,0.562652861,distributed search,cs
0.09439771,0.487397252,0.618842065,0.373183269,distribution-based clustering,cs
0.520665129,0.535019902,0.688943433,0.529009703,double-ended priority queue,cs
0.574870493,0.47279977,0.551185811,0.353492692,doubly linked list,cs
0.263739047,0.116929904,0.584179815,0.555364362,dynamic array,cs
0.302707661,0.109110822,0.457767798,0.509899471,dynamic compilation,cs
0.091654176,0.287730265,0.597253225,0.583308864,dynamic prefetched arrays,cs
0.412374541,0.092658506,0.435559821,0.455073258,dynamic table,cs
0.140511622,0.313797106,0.647632211,0.557198763,dynamically allocated array,cs
0.388408231,0.332196155,0.413633476,0.699179928,ecb mode,cs
0.502223436,0.427725666,0.747170109,0.364120952,edge contraction,cs
0.282289296,0.350582069,0.394380783,0.719916034,eigenmode expansion,cs
0.066079849,0.433015325,0.609893491,0.369259564,eigenvalue algorithm,cs
0.35170748,0.471500227,0.410426049,0.645629556,electronic signature,cs
0.412777336,0.564881986,0.401908998,0.630172074,electronic signatures,cs
0.199344028,0.394298225,0.471169508,0.656505753,embedded data,cs
0.715927937,0.498061979,0.88252323,0.493612194,empty set,cs
0.35964881,0.506183137,0.583133828,0.85891575,encrypted data,cs
0.167398578,0.451988156,0.523733247,0.685541881,encryption algorithm,cs
0.325540988,0.487990237,0.479399097,0.762026347,encryption keys,cs
0.206910666,0.383214727,0.626721886,0.576614167,enhanced double hashing,cs
0.182250929,0.260296382,0.245465144,0.31871961,ensemble learning method,cs
0.377728499,0.720724589,0.661506951,0.495843445,error detection,cs
0.562637489,0.718454208,0.715626415,0.564282404,error message,cs
0.500396725,0.136331352,0.603273929,0.412586296,euclidean distance,cs
0.432736683,0.127942936,0.444181337,0.50985244,euclidean space,cs
0.051070984,0.357074687,0.512175863,0.369555268,evolutionary computation,cs
0.046952178,0.415997449,0.574048658,0.39032061,explicit regression gradient boosting algorithms,cs
0.238812998,0.224865964,0.540934015,0.52583722,exponential convergence,cs
0.276195197,0.349018239,0.429966416,0.667770938,external node,cs
0.4986943,0.226107923,0.442333009,0.428731115,fast fourier transform,cs
0.348911269,0.540870173,0.505670472,0.512607831,feature detection,cs
0.269234393,0.406996626,0.120698325,0.442072629,feature learning,cs
0.395533123,0.329979387,0.472470464,0.503848429,feature maps,cs
0.149912195,0.38075483,0.376100667,0.532238472,feature oriented programming,cs
0.350415706,0.467391549,0.326095174,0.487887597,feedback connections,cs
0.122991318,0.352629811,0.438016241,0.418098757,feedforward neural network,cs
0.481193215,0.600484951,0.827868995,0.666887263,file overwrites,cs
0.103871172,0.248648281,0.545865152,0.450311542,finite element methods,cs
0.179571709,0.182069964,0.656259534,0.386108771,finite graph,cs
0.465592125,0.771082116,0.748352288,0.429827365,first-order reduction,cs
0.525841479,0.590685412,0.438855229,0.222587276,fitts's law,cs
0.508794125,0.165517335,0.393593776,0.540908892,flux architecture,cs
0.161917542,0.392858569,0.19366665,0.325534043,formal knowledge representation languages,cs
0.110430023,0.410674444,0.269186812,0.194596305,formal language theory,cs
0.377797459,0.178849286,0.433426904,0.443367439,fully connected layers,cs
0.109925187,0.31391221,0.43755976,0.422180297,fully recurrent neural networks,cs
0.339560016,0.286184433,0.298413462,0.504783686,function interaction,cs
0.523565426,0.365405727,0.26553903,0.592727885,function join,cs
0.08037298,0.535408502,0.431329614,0.345815433,functional analysis,cs
0.295843521,0.254918221,0.368774801,0.593748132,functional architecture,cs
0.639942531,0.21486442,0.149893278,0.490403824,fuzzy class,cs
0.370233816,0.473303799,0.585619324,0.173499044,fuzzy classification,cs
0.265483636,0.490655379,0.60776981,0.221318371,fuzzy classification predicate,cs
0.35640942,0.328968657,0.385070435,0.324049752,fuzzy description logics,cs
0.348175305,0.304548145,0.419878657,0.58033055,fuzzy markup language,cs
0.196102993,0.264391692,0.552094252,0.348993432,fuzzy propositional function,cs
0.699379247,0.043293036,0.450705413,0.547250991,fuzzy set,cs
0.726844765,0.060601117,0.478642754,0.539688798,fuzzy sets,cs
0.285389396,0.288696332,0.432099266,0.735960109,gaming systems,cs
0.763883484,0.548025624,0.79385483,0.509896019,garbage collection,cs
0.38131974,0.341904624,0.519368625,0.470165706,gated recurrent units,cs
0.389068645,0.525462623,0.843290933,0.297427149,gaussian elimination,cs
0.191102599,0.474191374,0.504328725,0.239710048,gene analysis,cs
0.190250421,0.372814485,0.265908223,0.438796313,general-purpose language,cs
0.240898896,0.399194929,0.694451751,0.38459586,generalised loop splitting,cs
0.028914742,0.460802964,0.607016487,0.35300408,generalized additive models,cs
0.199191794,0.474448884,0.482119138,0.366565537,generative adversarial networks,cs
0.083596091,0.466856652,0.387600992,0.259084998,generative model,cs
0.085824452,0.471642504,0.410661122,0.221513581,generative models,cs
0.206555756,0.507587272,0.665370123,0.440956051,generic programming,cs
0.15692529,0.3372968,0.42977261,0.224588168,genetic representation,cs
0.153134354,0.309750621,0.442035016,0.241775384,genetic representations,cs
0.808324748,0.311700817,0.516250854,0.207929155,gibbs sampling,cs
0.374763226,0.65639001,0.487243124,0.464531133,global minimum,cs
0.257234419,0.516654514,0.316451041,0.650550132,global solutions,cs
0.293820613,0.336863698,0.375944688,0.31684041,global view,cs
0.29882257,0.431074477,0.410820473,0.645473432,golay code,cs
0.360262695,0.197204213,0.508487472,0.317837586,gompertz curve,cs
0.68712337,0.241968918,0.603541783,0.456884203,gradient boosted trees,cs
0.364374467,0.328542167,0.509643621,0.468382879,gradient boosting,cs
0.131341846,0.42812151,0.531259506,0.438399342,gradient boosting algorithms,cs
0.460032069,0.076092304,0.649777173,0.351978466,gradient descent,cs
0.061019197,0.355582237,0.556737762,0.461205359,graph algorithms,cs
0.169810038,0.326076413,0.48218963,0.673217932,graph embedding,cs
0.097277307,0.268348996,0.607176807,0.327930397,graph isomorphism,cs
0.205986633,0.382427566,0.447146745,0.232220066,graph minor theory,cs
0.074178849,0.33981024,0.534598047,0.26032836,graph theory,cs
0.366562801,0.186150547,0.353490728,0.53122424,graphic design,cs
0.333992632,0.178710803,0.441323084,0.521556059,graphic representation,cs
0.091127466,0.30392683,0.513328175,0.463951426,graphical program elements,cs
0.157001621,0.321111646,0.516473656,0.775380811,graphics system,cs
0.629356675,0.374128003,0.536051053,0.549425175,hadamard product,cs
0.52107956,0.482051356,0.058520054,0.338724644,handwriting recognition,cs
0.28882962,0.503601125,0.226753894,0.580747338,hardware description language,cs
0.535716564,0.589398028,0.499609522,0.794512595,hardware links,cs
0.247753024,0.448223436,0.452501339,0.876813944,hardware technologies,cs
0.186753915,0.394087074,0.58483718,0.542352108,hash functions,cs
0.396319033,0.419232874,0.583501799,0.491846762,hash tables,cs
0.495006891,0.613102478,0.584358173,0.438112074,hashing problem,cs
0.519490651,0.241056891,0.116488737,0.313818265,hebbian learning,cs
0.311037261,0.321099432,0.576614793,0.620469848,helmholtz machine,cs
0.306175683,0.328072921,0.575006832,0.678761798,helmholtz machines,cs
0.251405324,0.355237142,0.452126298,0.553425086,heterogeneous networks,cs
0.50750737,0.281531615,0.748363657,0.404343808,hidden layer,cs
0.530867134,0.26791202,0.72622768,0.376297856,hidden layers,cs
0.533239887,0.321948949,0.348354145,0.453223081,hilbert spaces,cs
0.386553446,0.448324538,0.132237703,0.383004153,hopfield learning rule,cs
0.372938726,0.367213314,0.314502608,0.660404301,huffman coding,cs
0.137847817,0.402968554,0.343461767,0.698949439,human-centered computing,cs
0.277735046,0.326454127,0.376530886,0.620485443,humancomputer interaction,cs
0.569459936,0.410642199,0.480612229,0.444368597,hurwitz stable,cs
0.166196536,0.477404311,0.443121872,0.323184873,identity matrix,cs
0.369797959,0.348696443,0.589932867,0.798134292,image file formats,cs
