PCA Tuned 1,PCA Tuned 2,phrase,label
0.214210687,0.411646064,binary dependent variable,cs
0.315971958,0.368613213,binary file,cs
0.313267383,0.147713236,binary floating point,cs
0.205507503,0.377293621,binary inputs,cs
0.149955621,0.367120373,binary lexicographic code,cs
0.175875907,0.41401329,binary lexicographic codes,cs
0.196685553,0.302680154,binary operation,cs
0.295220386,0.422022131,binary search tree,cs
0.141131141,0.43345556,binary search tree algorithm,cs
0.345802661,0.382141473,binary search trees,cs
0.191237968,0.394086029,binary space partitioning,cs
0.445609435,0.397621631,binary splitting,cs
0.390961248,0.223614383,binary tree,cs
0.437145429,0.189557102,binary trees,cs
0.183712579,0.32552586,bio-inspired computing,cs
0.268210351,0.448565066,biodiversity informatics,cs
0.118146489,0.397131998,biologically inspired computing,cs
0.223553528,0.298517958,bit array,cs
0.326660326,0.129931669,bit sequences,cs
0.586373827,0.278329142,bit slicing,cs
0.425263708,0.209092094,bit string,cs
0.167344516,0.256004796,bitwise operation,cs
0.137759516,0.35859898,bitwise operations,cs
0.225865888,0.417796427,block lanczos algorithm,cs
0.342910483,0.387835739,boltzmann learning rule,cs
0.445533874,0.31163753,bonferroni testing,cs
0.14024067,0.304480063,boolean algebra,cs
0.214284781,0.272458229,boolean function,cs
0.24120506,0.27082249,boolean functions,cs
0.106406487,0.320877794,boolean logic,cs
0.426243029,0.228520097,boolean operators,cs
0.207903597,0.433221445,boosting methods,cs
0.209628258,0.220734623,boundary singularity,cs
0.689787743,0.187711794,bsp tree,cs
0.514237186,0.466976527,buffer overflows,cs
0.409993042,0.677344359,buffer overflowsruntime error detection tools,cs
0.522548361,0.297051813,c4 model,cs
0.302536359,0.35172702,caesar cipher,cs
0.561376911,0.360379989,caesar shift,cs
0.245196933,0.561720168,categorical label,cs
0.14898374,0.437829599,category theory,cs
0.506443133,0.368041591,character recognition,cs
0.511276178,0.211906006,character sets,cs
0.084829893,0.316759727,characteristic polynomial,cs
0.258608897,0.359904833,chi-square automatic interaction detection,cs
0.406148943,0.351066893,child nodes,cs
0.437756088,0.16853757,child vertices,cs
0.531824693,0.426868896,cholesky decomposition,cs
0.238176203,0.328057426,classic ad hoc,cs
0.108806527,0.455921776,classical backpropagation rule,cs
0.230403405,0.34506464,classical computer,cs
0.222243697,0.718198068,classification accuracy,cs
0.090643763,0.662389191,classification algorithms,cs
0.369545742,0.81998073,classification criteria,cs
0.298756651,0.820326083,classification problem,cs
0.209174362,0.785220937,classification tasks,cs
0.710725391,0.122446739,clique trees,cs
0.474020288,0.260203571,clock cycle,cs
0.100788655,0.397667439,clustering algorithms,cs
0.237129104,0.491138828,code libraries,cs
0.118235455,0.353752107,code stylometry,cs
0.134352865,0.419870008,coding theory,cs
0.151280524,0.282334745,cognitive architecture,cs
0.11999789,0.409304763,cognitive architectures,cs
0.212938067,0.379942764,cognitive dimensions,cs
0.122263624,0.416717008,cognitive modeling,cs
0.170381205,0.370855946,cognitive robotics,cs
0.19321969,0.456848614,cognitive science,cs
0.149151022,0.451795197,cognitive theories,cs
0.13627368,0.309490697,combinatorial game theory,cs
0.450476866,0.472166439,communications network,cs
0.382288172,0.34123265,comparison sort,cs
0.154501228,0.558969717,comparison sorting algorithms,cs
0.469079351,0.368088726,comparison sorts,cs
0.466398551,0.709889016,compilation error,cs
0.48758181,0.740358583,compilation errors,cs
0.207291711,0.696119351,compiler correctness,cs
0.173087613,0.418145413,compiler design,cs
0.155073716,0.475021169,compiler optimization,cs
0.082968053,0.462487003,compiler optimization technique,cs
0.088437061,0.468854727,compiler theory,cs
0.176917759,0.312121192,complex functions,cs
0.203198103,0.187099373,complex vector spaces,cs
0.06961028,0.365977333,complexity theory,cs
0.193858655,0.383095574,composition filters,cs
0.117295512,0.3449127,compound logic gates,cs
0.149751383,0.49134042,compressed data,cs
0.324831779,0.24803926,computation time,cs
0.043185937,0.394674197,computational complexity theory,cs
0.118032856,0.361582032,computational engineering,cs
0.232603246,0.622930729,computational ethics,cs
0.147385499,0.193345763,computational fluid dynamics,cs
0.048229635,0.421135089,computational framework,cs
0.16424369,0.447213132,computational intelligence,cs
0.110887449,0.417911388,computational learning theory,cs
0.140702369,0.39347129,computational linguistics,cs
0.177092943,0.422146823,computational materials science,cs
0.064854508,0.345006606,computational mathematics,cs
0.079192314,0.326626571,computational models,cs
0.225661766,0.435208957,computational morality,cs
0.041580917,0.376143214,computational neural network models,cs
0.117002211,0.283946589,computational physics,cs
0.329278933,0.664712121,computational problems,cs
0.231627448,0.384726241,computational resource,cs
0.267371144,0.445150876,computational resources,cs
0.174532455,0.439705426,computational statistics,cs
0.068520177,0.391200734,computational system,cs
0.45211195,0.516788313,computationally intractable,cs
0.129112087,0.375376011,compute arithmetic operations,cs
0.137239782,0.351979254,computer architecture,cs
0.176845897,0.347945718,computer code,cs
0.159447065,0.574385548,computer ethics,cs
0.357329958,0.251715285,computer games,cs
0.214347247,0.303042672,computer graphics,cs
0.237071604,0.357589312,computer hardware unit,cs
0.252412661,0.317240077,computer interaction,cs
0.160436944,0.338868139,computer language,cs
0.165987035,0.36324417,computer learning,cs
0.249644325,0.397590064,computer memory,cs
0.224456979,0.375089099,computer network,cs
0.13080731,0.390823479,computer network architecture,cs
0.235472019,0.366370374,computer processors,cs
0.170352275,0.390670195,computer program,cs
0.154052613,0.436332732,computer program source code,cs
0.170962457,0.377693306,computer programming,cs
0.173132957,0.400619463,computer programs,cs
0.178109396,0.386971089,computer science,cs
0.195247166,0.437911742,computer science fields,cs
0.319614146,0.544171463,computer security,cs
0.250065916,0.342489188,computer skills,cs
0.181674763,0.399773319,computer systems,cs
0.180295991,0.311115476,computer vision,cs
0.236739094,0.333262628,computing machinery,cs
0.319103372,0.441875176,computing resources,cs
0.061021496,0.348154917,concurrent pattern calculus,cs
0.285935858,0.226168615,conditional expression,cs
0.336294982,0.570285546,confidence score,cs
0.08040942,0.541487591,conformational analysis,cs
0.411378499,0.389111464,connected wireless device,cs
0.07261561,0.408560975,constraint logic programming,cs
0.160823296,0.426732834,constraint programming,cs
0.262758773,0.318488462,continuous function,cs
0.23182208,0.32705892,continuous unimodal function,cs
0.157630264,0.469828303,control theory,cs
0.150990485,0.439834798,conventional dynamic memory allocation libraries,cs
0.117422578,0.336687083,convolutional neural networks,cs
0.568827006,0.694272482,copyright investigation,cs
0.085669362,0.414671548,correlation matrix,cs
0.255457621,0.600792645,cost allocation,cs
0.304133779,0.408385937,cpu cache,cs
0.119464338,0.392921808,cross-correlation matrix,cs
0.289168344,0.503027764,current databases,cs
0.200519017,0.390371556,data compression,cs
0.149438804,0.382343144,data elements,cs
0.276541253,0.565043632,data encryption standard,cs
0.271897881,0.4818069,data mining,cs
0.053115628,0.421628629,data model,cs
0.076167678,0.407113038,data modeling,cs
0.20368724,0.282219085,data objects,cs
0.157816153,0.431813602,data set,cs
0.138917682,0.428305521,data sets,cs
0.218704392,0.455063521,data sparsity,cs
0.303645759,0.435173094,data storage,cs
0.140974719,0.378683775,data stream clustering,cs
0.183162308,0.379004288,data streaming algorithms,cs
0.129652473,0.4156171,data structures,cs
0.14792093,0.313378813,data visualization,cs
0.381321945,0.471016858,data warehouse,cs
0.266561827,0.447163519,database columns,cs
0.304961155,0.538106163,database dumps,cs
0.064346602,0.473121714,database model,cs
0.169949767,0.504985247,database normalization,cs
0.237893247,0.481113077,database relation,cs
0.165627688,0.505773521,database systems,cs
0.210825837,0.471648446,database table,cs
0.127574181,0.490746649,database tuning,cs
0.553761324,0.542114915,de morgan's law,cs
0.187031023,0.434143429,decimal computers,cs
0.291220212,0.573287675,decision boundaries,cs
0.348667652,0.517389724,decision boundary,cs
0.324924838,0.724837038,decision making problems,cs
0.188716134,0.514913664,decision network,cs
0.168462529,0.339516912,decision tree technique,cs
0.341136793,0.387521008,decision trees,cs
0.12953522,0.558373815,decompressed data,cs
0.29005468,0.369194691,deep learning,cs
0.124127927,0.330419375,deep neural networks,cs
0.200140859,0.432699365,deep reinforcement learning,cs
0.317975997,0.536894198,delay-tolerant networking,cs
0.241556571,0.444820901,description logics,cs
0.185568881,0.496307357,descriptive statistics,cs
0.410899398,0.362823279,desktop computers,cs
0.017426426,0.417291633,deterministic algorithm,cs
0.125394923,0.447972093,deterministic encryption,cs
0.104794844,0.457871754,deterministic encryption scheme,cs
0.112059779,0.471569346,deterministic encryption schemes,cs
0.051058122,0.426511879,deterministic global optimization,cs
0.140077656,0.336739546,differentiable function,cs
0.077683858,0.388675419,differential calculus,cs
0.055939796,0.374152925,differential equations,cs
0.190119174,0.384917266,digital data,cs
0.19659888,0.408338969,digital filter,cs
0.206581716,0.421716026,digital filters,cs
0.367793071,0.46388065,digital information,cs
0.310168153,0.245681339,digital signal,cs
0.402471624,0.488792948,digital signatures,cs
0.276387286,0.109599113,dimensional space,cs
0.143545347,0.196120641,directed acyclic graph,cs
0.121677228,0.305902195,discrete time recurrent neural networks,cs
0.056684365,0.513855809,discriminant function analysis,cs
0.297134741,0.309240078,distance metric,cs
0.150200091,0.365544612,distance metric learning,cs
0.065985329,0.390310109,distributed algorithms,cs
0.175485879,0.436167596,distributed application,cs
0.106578728,0.414905202,distributed application architecture,cs
0.136875692,0.415286193,distributed artificial intelligence,cs
0.136881221,0.44796871,distributed artificial intelligence systems,cs
0.122447784,0.361655085,distributed computing,cs
0.129303633,0.375459981,distributed computing environment,cs
0.202713393,0.472816464,distributed data stores,cs
0.149829671,0.447229668,distributed information processing,cs
0.164698943,0.282349818,distributed object communication,cs
0.24430593,0.511270244,distributed search,cs
0.094397737,0.48738595,distribution-based clustering,cs
0.520665106,0.535030103,double-ended priority queue,cs
0.574870526,0.472783961,doubly linked list,cs
0.263739081,0.11691165,dynamic array,cs
0.302707722,0.109104524,dynamic compilation,cs
0.091654204,0.287703155,dynamic prefetched arrays,cs
0.412374509,0.092674387,dynamic table,cs
0.140511635,0.313780564,dynamically allocated array,cs
0.388408327,0.332187722,ecb mode,cs
0.50222351,0.427705721,edge contraction,cs
0.282289404,0.350568009,eigenmode expansion,cs
0.066079877,0.433005409,eigenvalue algorithm,cs
0.351707452,0.471488022,electronic signature,cs
0.412777351,0.564864051,electronic signatures,cs
0.199344091,0.394289563,embedded data,cs
0.715927959,0.498065752,empty set,cs
0.359648837,0.506168296,encrypted data,cs
0.167398602,0.451946522,encryption algorithm,cs
0.325541031,0.487940064,encryption keys,cs
0.206910726,0.383194407,enhanced double hashing,cs
0.182250992,0.260282213,ensemble learning method,cs
0.377728489,0.720697605,error detection,cs
0.562637536,0.718424425,error message,cs
0.500396683,0.136316471,euclidean distance,cs
0.432736672,0.127940166,euclidean space,cs
0.051071023,0.357050535,evolutionary computation,cs
0.046952204,0.415988821,explicit regression gradient boosting algorithms,cs
0.238813047,0.22485184,exponential convergence,cs
0.276195232,0.349002967,external node,cs
0.498694392,0.226085595,fast fourier transform,cs
0.348911276,0.540844079,feature detection,cs
0.269234494,0.406990007,feature learning,cs
0.395533129,0.329963476,feature maps,cs
0.149912225,0.380742191,feature oriented programming,cs
0.350415815,0.467362026,feedback connections,cs
0.122991373,0.352602899,feedforward neural network,cs
0.481193305,0.6004727,file overwrites,cs
0.103871232,0.248618734,finite element methods,cs
0.179571674,0.182068949,finite graph,cs
0.465592233,0.771068396,first-order reduction,cs
0.525841394,0.590705085,fitts's law,cs
0.508794095,0.165543807,flux architecture,cs
0.161917549,0.392847003,formal knowledge representation languages,cs
0.110430014,0.410662137,formal language theory,cs
0.377797478,0.178822619,fully connected layers,cs
0.109925221,0.313889541,fully recurrent neural networks,cs
0.339560065,0.286166056,function interaction,cs
0.523565508,0.365383303,function join,cs
0.080372994,0.535389671,functional analysis,cs
0.295843486,0.254911761,functional architecture,cs
0.639942541,0.214892,fuzzy class,cs
0.370233793,0.473308248,fuzzy classification,cs
0.265483635,0.490641352,fuzzy classification predicate,cs
0.356409432,0.328953714,fuzzy description logics,cs
0.348175352,0.30452732,fuzzy markup language,cs
0.196103019,0.264363053,fuzzy propositional function,cs
0.699379296,0.043290293,fuzzy set,cs
0.726844802,0.060608062,fuzzy sets,cs
0.285389368,0.288711888,gaming systems,cs
0.763883582,0.547999207,garbage collection,cs
0.381319834,0.341894288,gated recurrent units,cs
0.389068597,0.525481433,gaussian elimination,cs
0.191102665,0.474179342,gene analysis,cs
0.190250444,0.372779452,general-purpose language,cs
0.240898909,0.399192601,generalised loop splitting,cs
0.028914761,0.460796952,generalized additive models,cs
0.199191769,0.474444861,generative adversarial networks,cs
0.083596127,0.466844747,generative model,cs
0.085824464,0.471635959,generative models,cs
0.206555819,0.507564921,generic programming,cs
0.156925373,0.33727948,genetic representation,cs
0.153134421,0.309733371,genetic representations,cs
0.808324908,0.311669193,gibbs sampling,cs
0.374763229,0.656390035,global minimum,cs
0.257234392,0.516645109,global solutions,cs
0.293820543,0.336874418,global view,cs
0.298822651,0.43102068,golay code,cs
0.360262687,0.197207949,gompertz curve,cs
0.687123452,0.241934911,gradient boosted trees,cs
0.364374593,0.328527113,gradient boosting,cs
0.131341902,0.428112097,gradient boosting algorithms,cs
0.46003212,0.076073238,gradient descent,cs
0.06101918,0.355564356,graph algorithms,cs
0.169810085,0.326057932,graph embedding,cs
0.097277322,0.268339516,graph isomorphism,cs
0.205986691,0.382411043,graph minor theory,cs
0.074178825,0.339800317,graph theory,cs
0.366562745,0.18615389,graphic design,cs
0.333992579,0.178725857,graphic representation,cs
0.091127459,0.303912975,graphical program elements,cs
0.157001582,0.321118366,graphics system,cs
0.629356768,0.374117451,hadamard product,cs
0.521079557,0.482034949,handwriting recognition,cs
0.288829656,0.503579314,hardware description language,cs
0.535716679,0.589365339,hardware links,cs
0.247753055,0.44820414,hardware technologies,cs
0.186754018,0.394048421,hash functions,cs
0.39631912,0.419227398,hash tables,cs
0.495007019,0.613066523,hashing problem,cs
0.519490725,0.241064431,hebbian learning,cs
0.31103722,0.321112967,helmholtz machine,cs
0.306175632,0.328092012,helmholtz machines,cs
0.251405339,0.355232038,heterogeneous networks,cs
0.50750739,0.281498748,hidden layer,cs
0.53086716,0.267881348,hidden layers,cs
0.533239865,0.32197236,hilbert spaces,cs
0.3865535,0.448309425,hopfield learning rule,cs
0.372938733,0.367197496,huffman coding,cs
0.137847817,0.402955407,human-centered computing,cs
0.277735008,0.326445297,humancomputer interaction,cs
0.56945995,0.410638586,hurwitz stable,cs
0.166196541,0.477405942,identity matrix,cs
0.369798038,0.348694009,image file formats,cs
0.177034424,0.319451226,image processing,cs
0.334790655,0.453881154,image search tool,cs
0.385482858,0.119389909,immersive virtual environment,cs
0.03536557,0.405075391,implicit euler method,cs
0.160402569,0.249500211,in-place matrix transposition,cs
0.206639948,0.423829592,independent variable,cs
0.300350297,0.318792008,industrial design,cs
0.083166777,0.431123978,informatics techniques,cs
0.213623739,0.323722296,information dimension,cs
0.22219275,0.305551542,information graphics,cs
0.262921253,0.514858664,information retrieval,cs
0.176640506,0.443660802,information science,cs
0.396025698,0.665554601,information security,cs
0.202280993,0.497069956,information system,cs
0.218316896,0.412245612,information technology,cs
0.101642371,0.426910109,information theory,cs
0.155451011,0.477036919,input data,cs
0.447557672,0.753643593,input error,cs
0.213912709,0.263763226,input operands,cs
0.222996758,0.426481858,input sentence,cs
0.187829569,0.285994463,input sequences,cs
0.261329936,0.354533401,input signal,cs
0.165605327,0.4182106,instance-based learning,cs
0.020210315,0.4347945,integer factorization algorithms,cs
0.07817679,0.425498608,integrated computational materials engineering,cs
0.253678885,0.401749779,intelligent agent,cs
0.099531218,0.425407456,intelligent agent paradigm,cs
0.290822085,0.446288692,intelligent agents,cs
0.18653585,0.325393096,intelligent machines,cs
0.301300699,0.451972337,internet protocol suite,cs
0.377448868,0.352014549,internet route objects,cs
0.384290125,0.539223157,internet routing registry,cs
0.495679567,0.586953007,internet service providers,cs
0.142332465,0.441437567,interpolative decomposition,cs
0.114710772,0.307537502,inverse matrix,cs
0.334053215,0.393870142,ip routing,cs
0.309784755,0.285670057,ipn design,cs
0.09020086,0.456530625,iterative method,cs
0.192091023,0.354281214,javascript computer programming,cs
0.129946137,0.383973765,javascript pseudorandom number generators,cs
0.35142998,0.249796162,javascript v8 engine,cs
0.753043508,0.10096292,join trees,cs
0.818949092,0.423989914,k nearest neighbors,cs
0.238504647,0.450553103,kargerstein algorithm,cs
0.115735929,0.435010276,kernel density estimation,cs
0.200765768,0.40237634,kernel function,cs
0.213828342,0.384338304,kernel machines,cs
0.070155567,0.420271499,kernelized learning algorithms,cs
0.557224451,0.496088965,known classes,cs
0.364891266,0.275891535,krylov subspace,cs
0.281533773,0.319891389,language model,cs
0.306352757,0.326105725,language modeling,cs
0.315360785,0.557186662,language specification,cs
0.326618972,0.27398217,las vegas algorithms,cs
0.098908659,0.480544878,latent semantic analysis,cs
0.16937732,0.352414576,layered network architecture,cs
0.461094975,0.234816966,leaf node,cs
0.444604912,0.195281117,leaf nodes,cs
0.115762463,0.339326431,learning automaton,cs
0.15052102,0.408655484,learning theory,cs
0.040092627,0.386356046,learning vector quantization,cs
0.291409158,0.408785639,least-squares support-vector machine,cs
0.117969292,0.329921716,lexicographic code,cs
0.334816572,0.34935723,lightweight software,cs
0.07930826,0.315493179,linear algebra,cs
0.22191953,0.184777456,linear combination,cs
0.21821848,0.407303237,linear dependency,cs
0.037687315,0.45294401,linear discriminant analysis,cs
0.05698048,0.328797395,linear equations,cs
0.089985361,0.296109504,linear function,cs
0.103715504,0.303936329,linear programming,cs
0.109741925,0.215703055,linear quadratic gaussian control,cs
0.045317939,0.380871025,linear regularization methods,cs
0.104279645,0.279019227,linear system,cs
0.118622212,0.187923513,linearithmic time,cs
0.804210078,0.33184903,local minima,cs
0.543633541,0.622317132,local minimum,cs
0.191514571,0.43796525,local regression,cs
0.127767586,0.312810944,logarithm function,cs
0.475276873,0.168849671,logic gate,cs
0.178733091,0.391555068,logic program,cs
0.147636951,0.331025794,logic programming,cs
0.128180984,0.366957156,logic programming language,cs
0.133384108,0.378438968,logic programming languages,cs
0.007007751,0.402466005,logical calculi,cs
0.011706109,0.40417102,logical data model,cs
0.082125288,0.358503098,logistic function,cs
0.064378698,0.310226297,logistic model,cs
0.05807776,0.438796017,logistic regression,cs
0.357764529,0.598486281,logspace reductions,cs
0.489163928,0.424641557,lookup table,cs
0.528123358,0.438519109,lookup tables,cs
0.413921518,0.108192739,loop body,cs
0.561606201,0.270977799,loop peeling,cs
0.430350025,0.274042001,loop splitting,cs
0.422601167,0.539453346,lossless compression,cs
0.221420295,0.488401959,lossless compression algorithm,cs
0.416626597,0.675904555,lossy methods,cs
0.198375456,0.30702135,machine consciousness,cs
0.125608471,0.460733708,machine ethics,cs
0.12088146,0.368095956,machine learning,cs
0.083846063,0.40051984,machine learning algorithms,cs
0.11972178,0.390791519,machine learning tasks,cs
0.248659041,0.393034468,machine translation,cs
0.245398155,0.400834821,main functions,cs
0.152726029,0.512882062,managed code,cs
0.361745237,0.166166823,manifold alignment,cs
0.226962029,0.532688714,margin classifier,cs
0.092100268,0.391765754,markov algorithms,cs
0.252657048,0.427415613,markov assumption,cs
0.638868035,0.350498787,markov chain,cs
0.348830459,0.280512559,markov random field,cs
0.040675808,0.358173127,mathematical constructors,cs
0.13454273,0.291791717,mathematical duality,cs
0.02109351,0.413907019,mathematical formula,cs
0.059636655,0.364336035,mathematical function,cs
0.0278513,0.384539443,mathematical logic,cs
0,0.382411351,mathematical model,cs
0.112795696,0.470290558,mathematical study,cs
0.098919619,0.406559284,matlab code,cs
0.115944983,0.307787208,matrix decomposition,cs
0.109811478,0.370574472,matrix decompositions,cs
0.13575532,0.391328158,matrix operations,cs
0.12879228,0.347231228,max-flow min-cut theorem,cs
0.082406585,0.314853663,maximal subtree isomorphism,cs
0.193853319,0.251339899,maximin model,cs
0.227409251,0.261930176,maximin models,cs
0.116103981,0.391769282,maximum entropy probability distribution,cs
0.295799878,0.454707523,maximum likelihood,cs
0.334898294,0.171437313,maximum-margin hyperplane,cs
0.344901447,0.523236428,medical imaging,cs
0.378653451,0.249196202,meldable heap,cs
0.445084107,0.587657659,membership function,cs
0.220593438,0.463470475,memory allocation,cs
0.197727629,0.451592586,memory debugger,cs
0.163227504,0.485422236,memory debuggers,cs
0.466535537,0.699550989,memory leaks,cs
0.2313278,0.522937899,memory management unit,cs
0.388710655,0.564563337,memory protection,cs
0.297166661,0.4778718,memory search,cs
0.439077628,0.410998009,memory sharing,cs
0.320733686,0.362614884,memory space,cs
0.190887768,0.351789859,meta learning,cs
0.229531572,0.47620748,method call,cs
0.30738693,0.468682074,microsoft sql server,cs
0.318121508,0.438615685,microsoft windows application programming interface,cs
0.616846382,0.515189488,minimum k-cut,cs
0.308915477,0.38468296,mobile ad hoc networks,cs
0.110028173,0.527297695,model predictive control,cs
0.119703752,0.504591013,modern decision theory,cs
0.300479137,0.229936897,monic polynomials,cs
0.280764316,0.355814498,monte carlo algorithm,cs
0.243298767,0.356154342,monte carlo algorithms,cs
0.527101983,0.472340278,moravec's paradox,cs
0.216665441,0.265114662,multifrontal solver,cs
0.131941227,0.420791752,multilevel sampling system,cs
0.357992459,0.31417002,multimedia communication,cs
0.218636123,0.295021991,multimedia data,cs
0.362324597,0.137090386,multimodal architecture,cs
0.192542131,0.363572317,multimodal system,cs
0.033740165,0.372009312,multinomial model,cs
0.087982662,0.46059625,multivariate analysis,cs
0.205824454,0.200688426,mutable array,cs
0.336459644,0.460600736,mutable ordered lists,cs
0.371273148,0.24156117,mvc design pattern,cs
0.364391928,0.426385554,n log n comparisons,cs
0.103632492,0.293073997,natural computation,cs
0.345464781,0.201062574,natural language,cs
0.234180493,0.324358768,natural language processing,cs
0.545827193,0.108861139,neighbouring vertices,cs
0.278954549,0.354980536,nested loop,cs
0.152383632,0.354131013,network architecture,cs
0.420634868,0.405814928,network browsing,cs
0.31086975,0.332356634,network elements,cs
0.225725978,0.379353645,network processors,cs
0.143568484,0.222968948,neural abstraction pyramid,cs
0.31194037,0.302201178,neural network,cs
0.151223898,0.346395598,neural network toolbox,cs
0.247991738,0.261481598,neural networks,cs
0.235172403,0.264821027,neuron clusters,cs
0.162413743,0.292469098,nm matrix,cs
0.114879676,0.471819056,non-negative matrix factorization,cs
0.090718886,0.468244807,normal discriminant analysis,cs
0.28573881,0.325380525,normalization layers,cs
0.166840136,0.40896097,normalized entropy,cs
0.079434997,0.534776921,numerical analysis,cs
0.09896601,0.389446547,numerical computing programs,cs
0.050624232,0.324996286,numerical linear algebra,cs
0.044623454,0.399160524,numerical method,cs
0.100365025,0.403243899,numerical operations,cs
0.049755015,0.438162417,numerical optimization,cs
0.425460654,0.231789663,numpy bindings,cs
0.121666158,0.334631559,object code,cs
0.08267482,0.428502737,object code optimizer,cs
0.097628714,0.369774608,object oriented programming,cs
0.099976231,0.360802738,objective function,cs
0.491023571,0.00882601,ogee curve,cs
0.267851031,0.534371604,operating systems,cs
0.347099314,0.457426045,optical character recognition,cs
0.204468011,0.547894665,optimal solution,cs
0.207961792,0.572979825,optimality problem,cs
0.07349063,0.463646272,optimization algorithm,cs
0.10830903,0.498978576,optimization mechanism,cs
0.076078899,0.51153059,optimization methods,cs
0.135664361,0.584470315,optimization problem,cs
0.201920431,0.677725645,optimization problems,cs
0.067623481,0.435670092,optimization theory,cs
0.397536688,0.26714445,oracle developer studio,cs
0.534486637,0.286682335,ordered sets,cs
0.6509327,0.136546735,ordered tree,cs
0.266376797,0.473164509,original data,cs
0.166675255,0.300983728,orthogonal decomposition,cs
0.468559335,0.14771116,osi model,cs
0.362951833,0.2859979,outer node,cs
0.260028051,0.486793243,output label,cs
0.093214901,0.339662575,parallel algorithm,cs
0.063708684,0.327935224,parallel graph algorithms,cs
0.159865572,0.410886444,parallel solution,cs
0.360261895,0.14672342,parallel tree contraction,cs
0.612129817,0.474941772,parent class,cs
0.213718784,0.441780681,parity function,cs
0.065936924,0.36174021,pattern calculus,cs
0.442845656,0.189475251,pattern matching,cs
0.199487391,0.403280008,pattern recognition,cs
0.164732619,0.432395373,pattern recognition task,cs
0.178805407,0.513830404,performance analyzer,cs
0.352888075,0.380736293,physical memory,cs
0.45876366,0.233294533,physical qualities,cs
0.639530131,0.114871305,plane tree,cs
0.099587215,0.459396949,point distribution model,cs
0.113811497,0.25364409,polygonal approximations,cs
0.233125457,0.283499664,polymorphic association,cs
