tSNE Untuned 0,tSNE Untuned 1,phrase,label
0.318998226,0.35407582,authentication mechanism,cs
0.303796267,0.217914235,automata theory,cs
0.299706038,0.218104989,automata-based programming,cs
0.542560223,0.167203881,automatic memory management,cs
0.273675293,0.53850305,automatic speech recognition,cs
0.311342181,0.156552948,autonomic computing,cs
0.155728019,0.309743164,autonomic networking,cs
0.427104093,0.909536275,autonomous operation,cs
0.319505472,0.25152097,autonomous processing nodes,cs
0.743449411,0.458226989,avl trees,cs
0.676573942,0.215724421,axiomatic set theory,cs
0.780626614,0.564182492,back end,cs
0.460199777,0.121701394,backpropagation based artificial neural networks,cs
0.703597609,0.789859773,backward euler method,cs
0.987423859,0.73058026,balanced binary search trees,cs
0.442463007,0.868783403,basic function,cs
0.560928734,0.494475975,bayes net,cs
0.562955309,0.49775849,bayes network,cs
0.563304704,0.251798796,bayesian network,cs
0.563151108,0.251174366,bayesian networks,cs
0.566830463,0.310552062,bcjr algorithm,cs
0.215816017,0.212093816,behavioral software design pattern,cs
0.43393451,0.49954635,belief network,cs
0.856641958,0.277814643,bernstein basis polynomials,cs
0.856796718,0.277631035,bernstein polynomial,cs
0.85677825,0.277913424,bernstein polynomials,cs
0.549550607,0.785520379,big data,cs
0.959977877,0.770592208,binary arithmetic,cs
0.952765184,0.758738748,binary dependent variable,cs
0.958453887,0.757751535,binary file,cs
0.954827171,0.760844839,binary floating point,cs
0.95182299,0.761735702,binary inputs,cs
0.969972655,0.764448191,binary lexicographic code,cs
0.969507,0.765537702,binary lexicographic codes,cs
0.952060647,0.761713369,binary operation,cs
0.979517601,0.740099241,binary search tree,cs
0.98280726,0.736848178,binary search tree algorithm,cs
0.976662212,0.742860587,binary search trees,cs
0.957350136,0.749731574,binary space partitioning,cs
0.955243476,0.758905989,binary splitting,cs
0.968498845,0.751398695,binary tree,cs
0.967547472,0.752478106,binary trees,cs
0.354016043,0.172025622,bio-inspired computing,cs
0.462664294,0.249730171,biodiversity informatics,cs
0.352235512,0.169843196,biologically inspired computing,cs
0.5043608,0.303770018,bit array,cs
0.505749931,0.304559556,bit sequences,cs
0.619217192,0.398737844,bit slicing,cs
0.620902892,0.403664707,bit string,cs
0.800319568,0.38997087,bitwise operation,cs
0.800022398,0.389342017,bitwise operations,cs
0.573384505,0.325434294,block lanczos algorithm,cs
0.040839391,0.439712006,boltzmann learning rule,cs
0.349753023,0.510438033,bonferroni testing,cs
0.644854035,0.061046165,boolean algebra,cs
0.732508571,0.201934076,boolean function,cs
0.732119104,0.201734381,boolean functions,cs
0.730695234,0.20068518,boolean logic,cs
0.732220754,0.201862211,boolean operators,cs
0.063297841,0.600937531,boosting methods,cs
0.751086234,0.690845314,boundary singularity,cs
0.7427056,0.457829596,bsp tree,cs
0.871366809,0.73807014,buffer overflows,cs
0.863173413,0.743536736,buffer overflowsruntime error detection tools,cs
0.685890235,0.501719996,c4 model,cs
0.672287111,0.457365427,caesar cipher,cs
0.671047856,0.458666145,caesar shift,cs
0.541178152,0.446015146,categorical label,cs
0.458922189,0.391478419,category theory,cs
0.330844565,0.521364419,character recognition,cs
0.374808092,0.473026011,character sets,cs
0.856257803,0.276044382,characteristic polynomial,cs
0.237284562,0.604785746,chi-square automatic interaction detection,cs
0.085777709,0.49221737,child nodes,cs
0.085898964,0.492316577,child vertices,cs
0.783438051,0.76862459,cholesky decomposition,cs
0.404782585,0.749489007,classic ad hoc,cs
0.643289798,0.555525165,classical backpropagation rule,cs
0.265266356,0.152217724,classical computer,cs
0.31635252,0.826897306,classification accuracy,cs
0.49024305,0.382726035,classification algorithms,cs
0.477898875,0.402437976,classification criteria,cs
0.777707233,0.727618807,classification problem,cs
0.479231705,0.398747084,classification tasks,cs
0.743484905,0.457423604,clique trees,cs
0.626610817,0.326449265,clock cycle,cs
0.438812004,0.295741228,clustering algorithms,cs
0.257609754,0.216852576,code libraries,cs
0.536424522,0.328940249,code stylometry,cs
0.544949028,0.328182116,coding theory,cs
0.149533141,0.194969377,cognitive architecture,cs
0.150309254,0.193116346,cognitive architectures,cs
0.152026579,0.186709131,cognitive dimensions,cs
0.152921565,0.186741865,cognitive modeling,cs
0.23220421,0.159674739,cognitive robotics,cs
0.155747645,0.183554568,cognitive science,cs
0.152242162,0.185649492,cognitive theories,cs
0.499808455,0.117723661,combinatorial game theory,cs
0.16088314,0.340914637,communications network,cs
0.45921813,0.48347349,comparison sort,cs
0.531677527,0.295723439,comparison sorting algorithms,cs
0.459023362,0.485861166,comparison sorts,cs
0.819882306,0.76636076,compilation error,cs
0.81955515,0.766561727,compilation errors,cs
0.34295374,0.839963524,compiler correctness,cs
0.463508357,0.043944957,compiler design,cs
0.466710233,0.045463879,compiler optimization,cs
0.466658039,0.045337097,compiler optimization technique,cs
0.464026501,0.044274914,compiler theory,cs
0.712235417,0.702314536,complex functions,cs
0.71136799,0.698789688,complex vector spaces,cs
0.888069066,0.482110737,complexity theory,cs
0.546558102,0.392749397,composition filters,cs
0.667968251,0.176469671,compound logic gates,cs
0.677904882,0.418504337,compressed data,cs
0.621552997,0.323962883,computation time,cs
0.394333544,0.095335071,computational complexity theory,cs
0.355055418,0.120068896,computational engineering,cs
0.361033303,0.141474762,computational ethics,cs
0.37401198,0.135457846,computational fluid dynamics,cs
0.369627957,0.123951196,computational framework,cs
0.371613526,0.123912364,computational intelligence,cs
0.361575343,0.098548891,computational learning theory,cs
0.358878856,0.114723228,computational linguistics,cs
0.354948522,0.120114162,computational materials science,cs
0.570189235,0.034353925,computational mathematics,cs
0.372873938,0.122801025,computational models,cs
0.363367425,0.141854549,computational morality,cs
0.451474576,0.145413215,computational neural network models,cs
0.354603084,0.125895694,computational physics,cs
0.387118097,0.103543728,computational problems,cs
0.370289285,0.122578697,computational resource,cs
0.370722572,0.121579213,computational resources,cs
0.54222356,0.034893789,computational statistics,cs
0.370103043,0.123540733,computational system,cs
0.74664791,0.771358141,computationally intractable,cs
0.584651425,0.074747698,compute arithmetic operations,cs
0.272852889,0.099538199,computer architecture,cs
0.276305612,0.090472142,computer code,cs
0.290940025,0.104192642,computer ethics,cs
0.247194847,0.092898369,computer games,cs
0.263161226,0.100401099,computer graphics,cs
0.262677627,0.110835952,computer hardware unit,cs
0.265439562,0.10324239,computer interaction,cs
0.271454743,0.099960185,computer language,cs
0.276820858,0.082806229,computer learning,cs
0.265048696,0.104933398,computer memory,cs
0.259123713,0.106765966,computer network,cs
0.257695996,0.110515909,computer network architecture,cs
0.265291861,0.110994533,computer processors,cs
0.26944851,0.09872498,computer program,cs
0.278382046,0.089082359,computer program source code,cs
0.273448738,0.093572498,computer programming,cs
0.268317374,0.100661585,computer programs,cs
0.278702951,0.095600757,computer science,cs
0.280300529,0.096426209,computer science fields,cs
0.282443644,0.104435172,computer security,cs
0.267497374,0.099864826,computer skills,cs
0.266014167,0.107764028,computer systems,cs
0.26323029,0.101610528,computer vision,cs
0.307936786,0.143235054,computing machinery,cs
0.313279056,0.142952795,computing resources,cs
0.644138297,0.079986523,concurrent pattern calculus,cs
0.549527937,0.42697291,conditional expression,cs
0.319720334,0.82552896,confidence score,cs
0.390281343,0.44321639,conformational analysis,cs
0.117625843,0.333797417,connected wireless device,cs
0.550664553,0.219076846,constraint logic programming,cs
0.550182615,0.220504562,constraint programming,cs
0.408746199,0.844979404,continuous function,cs
0.574138233,0.920216463,continuous unimodal function,cs
0.63900042,0.367449567,control theory,cs
0.54490335,0.162197746,conventional dynamic memory allocation libraries,cs
0.46213125,0.147586887,convolutional neural networks,cs
0.52290117,0.360524598,copyright investigation,cs
0.701667127,0.335088044,correlation matrix,cs
0.448810883,0.460533668,cost allocation,cs
0.2665182,0.126067893,cpu cache,cs
0.701313765,0.336745234,cross-correlation matrix,cs
0.483415021,0.224999545,current databases,cs
0.370602082,0.316475491,data compression,cs
0.359944873,0.337440705,data elements,cs
0.819357051,0.213881154,data encryption standard,cs
0.357637655,0.305954034,data mining,cs
0.361698685,0.334503606,data model,cs
0.361133314,0.325304369,data modeling,cs
0.360086726,0.331654234,data objects,cs
0.366658013,0.343808826,data set,cs
0.365482652,0.342145707,data sets,cs
0.379003916,0.321882736,data sparsity,cs
0.356425446,0.31182232,data storage,cs
0.373933901,0.315089693,data stream clustering,cs
0.36750861,0.31289971,data streaming algorithms,cs
0.360065068,0.328714349,data structures,cs
0.356508311,0.328148391,data visualization,cs
0.357264897,0.309491451,data warehouse,cs
0.487913062,0.219554646,database columns,cs
0.879921086,0.767370138,database dumps,cs
0.488793225,0.216691451,database model,cs
0.487571327,0.214946255,database normalization,cs
0.488379206,0.218016402,database relation,cs
0.488825943,0.216108061,database systems,cs
0.487205655,0.22026222,database table,cs
0.482372877,0.215784801,database tuning,cs
0.571745544,0.479765783,de morgan's law,cs
0.94033058,0.778420087,decimal computers,cs
0.443578473,0.500993814,decision boundaries,cs
0.443931162,0.50084336,decision boundary,cs
0.767206411,0.722075334,decision making problems,cs
0.440300326,0.498933597,decision network,cs
0.713758248,0.44210462,decision tree technique,cs
0.714332067,0.442882748,decision trees,cs
0.829023951,0.812697434,decompressed data,cs
0.002994084,0.452552146,deep learning,cs
0.461364078,0.158831517,deep neural networks,cs
0.006131191,0.449203752,deep reinforcement learning,cs
0.781810597,0.385912163,delay-tolerant networking,cs
0.412953547,0.357960982,description logics,cs
0.797704591,0.303643048,descriptive statistics,cs
0.243599887,0.103498649,desktop computers,cs
0.662840985,0.357694155,deterministic algorithm,cs
0.817663177,0.213929338,deterministic encryption,cs
0.817807315,0.2139143,deterministic encryption scheme,cs
0.818229018,0.21384842,deterministic encryption schemes,cs
0.538730185,0.103393153,deterministic global optimization,cs
0.795561607,0.711401057,differentiable function,cs
0.628442643,0.094015021,differential calculus,cs
0.626038539,0.10031962,differential equations,cs
0.610476838,0.204779108,digital data,cs
0.6115302,0.20668384,digital filter,cs
0.61073045,0.206905082,digital filters,cs
0.610608474,0.202811079,digital information,cs
0.611648472,0.207466495,digital signal,cs
0.610785023,0.204012502,digital signatures,cs
0.599099607,0.357398597,dimensional space,cs
0.740107998,0.130850839,directed acyclic graph,cs
0.475627734,0.153931029,discrete time recurrent neural networks,cs
0.791300052,0.71558432,discriminant function analysis,cs
0.587293952,0.381875313,distance metric,cs
0.039422799,0.422524634,distance metric learning,cs
0.421782121,0.285605169,distributed algorithms,cs
0.418379338,0.285406802,distributed application,cs
0.416909184,0.28424812,distributed application architecture,cs
0.448993721,0.097397149,distributed artificial intelligence,cs
0.447473643,0.097166516,distributed artificial intelligence systems,cs
0.415966202,0.278402561,distributed computing,cs
0.414499878,0.276383729,distributed computing environment,cs
0.416586797,0.28732169,distributed data stores,cs
0.416097232,0.287115991,distributed information processing,cs
0.415250093,0.28730869,distributed object communication,cs
0.420198957,0.286291399,distributed search,cs
0.431993734,0.294239608,distribution-based clustering,cs
0.687283791,0.80501637,double-ended priority queue,cs
0.248412028,0.450415266,doubly linked list,cs
0.491972049,0.344788164,dynamic array,cs
0.495423168,0.345722442,dynamic compilation,cs
0.491855603,0.344175781,dynamic prefetched arrays,cs
0.497066085,0.34244278,dynamic table,cs
0.481545604,0.33921394,dynamically allocated array,cs
0.519812861,0.468747366,ecb mode,cs
0.602028452,0.43476814,edge contraction,cs
0.208782344,0.593589052,eigenmode expansion,cs
0.580903378,0.306055022,eigenvalue algorithm,cs
0.361738189,0.232916254,electronic signature,cs
0.361360754,0.232301776,electronic signatures,cs
0.375767825,0.336312381,embedded data,cs
0.649421874,0.916572353,empty set,cs
0.800351455,0.233060301,encrypted data,cs
0.818068533,0.21386417,encryption algorithm,cs
0.818034744,0.213605742,encryption keys,cs
0.896230947,0.388687669,enhanced double hashing,cs
0.021317108,0.439236739,ensemble learning method,cs
0.826963712,0.756219127,error detection,cs
0.81936258,0.761827413,error message,cs
0.603725615,0.364115867,euclidean distance,cs
0.60395488,0.361579897,euclidean space,cs
0.093467379,0.20138572,evolutionary computation,cs
0.062162793,0.600604212,explicit regression gradient boosting algorithms,cs
0.539576296,0.817816883,exponential convergence,cs
0.873140827,0.638282724,external node,cs
0.518839752,0.831459253,fast fourier transform,cs
0.206512838,0.524264289,feature detection,cs
0.017504444,0.440020517,feature learning,cs
0.221550814,0.556519591,feature maps,cs
0.280562709,0.26741129,feature oriented programming,cs
0.325763032,0.493996313,feedback connections,cs
0.45904602,0.149123728,feedforward neural network,cs
0.866384348,0.757934732,file overwrites,cs
0.673401342,0.246295369,finite element methods,cs
0.735890285,0.999209227,finite graph,cs
0.686955739,0.811769609,first-order reduction,cs
0.565500551,0.479716364,fitts's law,cs
0.305479256,0.40156766,flux architecture,cs
0.390465794,0.372136071,formal knowledge representation languages,cs
0.394121698,0.372066544,formal language theory,cs
0.259483106,0.742308808,fully connected layers,cs
0.255804352,0.742127238,fully recurrent neural networks,cs
0.361504968,0.442278156,function interaction,cs
0.360546852,0.425809964,function join,cs
0.364081053,0.439770262,functional analysis,cs
0.144878884,0.206923862,functional architecture,cs
0.923856757,0.84496055,fuzzy class,cs
0.919019679,0.843417424,fuzzy classification,cs
0.923516291,0.842726199,fuzzy classification predicate,cs
0.917659868,0.840852312,fuzzy description logics,cs
0.924387804,0.842125412,fuzzy markup language,cs
0.918683584,0.841438976,fuzzy propositional function,cs
0.925766804,0.844193008,fuzzy set,cs
0.924379368,0.843844478,fuzzy sets,cs
0.208268825,0.10121544,gaming systems,cs
0.99998116,0.662692615,garbage collection,cs
0.528540649,0.458868145,gated recurrent units,cs
0.68271676,0.805403134,gaussian elimination,cs
0.490833137,0.262484053,gene analysis,cs
0.413102837,0.685825329,general-purpose language,cs
0.620532319,0.413340304,generalised loop splitting,cs
0.747433269,0.359462976,generalized additive models,cs
0.784421444,0.719980597,generative adversarial networks,cs
0.440457998,0.418437299,generative model,cs
0.440199971,0.41832057,generative models,cs
0.603859141,0.897766857,generic programming,cs
0.492060256,0.262330484,genetic representation,cs
0.492111476,0.262367801,genetic representations,cs
0.519393024,0.47823084,gibbs sampling,cs
0.13850114,0.577798631,global minimum,cs
0.136947143,0.576798544,global solutions,cs
0.138024492,0.575886048,global view,cs
0.547004638,0.33723076,golay code,cs
0.604482452,0.443520917,gompertz curve,cs
0.745931572,0.462721065,gradient boosted trees,cs
0.062318448,0.600544183,gradient boosting,cs
0.062213585,0.600486586,gradient boosting algorithms,cs
0.659614794,0.388411583,gradient descent,cs
0.740163489,0.130658664,graph algorithms,cs
0.740311452,0.130385683,graph embedding,cs
0.740005911,0.130335142,graph isomorphism,cs
0.740312479,0.130576811,graph minor theory,cs
0.7400953,0.130312022,graph theory,cs
0.174282974,0.434142607,graphic design,cs
0.173148319,0.43731854,graphic representation,cs
0.234304837,0.26591964,graphical program elements,cs
0.195805786,0.136313226,graphics system,cs
0.544765239,0.499782767,hadamard product,cs
0.318465507,0.372610972,handwriting recognition,cs
0.27136083,0.287549218,hardware description language,cs
0.272519438,0.290406689,hardware links,cs
0.273214555,0.290773289,hardware technologies,cs
0.90166088,0.365536999,hash functions,cs
0.902656883,0.365435973,hash tables,cs
0.816565437,0.761296471,hashing problem,cs
0.030000856,0.441152871,hebbian learning,cs
0.606845193,0.463640851,helmholtz machine,cs
0.606934867,0.462985409,helmholtz machines,cs
0.823125303,0.631043445,heterogeneous networks,cs
0.830618928,0.799623453,hidden layer,cs
0.830542477,0.798855089,hidden layers,cs
0.616777486,0.281773727,hilbert spaces,cs
0.038525759,0.440231191,hopfield learning rule,cs
0.54893741,0.330150239,huffman coding,cs
0.309303569,0.142112192,human-centered computing,cs
0.292012369,0.137322474,humancomputer interaction,cs
0.583056072,0.50033197,hurwitz stable,cs
0.69056014,0.318312304,identity matrix,cs
0.186593985,0.525085301,image file formats,cs
0.187419339,0.523962566,image processing,cs
0.18833358,0.524501014,image search tool,cs
0.209989952,0.278879127,immersive virtual environment,cs
0.539882668,0.472179956,implicit euler method,cs
0.667900455,0.328569665,in-place matrix transposition,cs
0.578222736,0.92508564,independent variable,cs
0.257133608,0.372488062,industrial design,cs
0.304478664,0.30221247,informatics techniques,cs
0.325999542,0.317455577,information dimension,cs
0.322185076,0.31616669,information graphics,cs
0.32536714,0.320705386,information retrieval,cs
0.314073845,0.307541883,information science,cs
0.302152596,0.33420412,information security,cs
0.326971799,0.329605848,information system,cs
0.305670952,0.304247613,information technology,cs
0.319280097,0.309952118,information theory,cs
0.373687239,0.399333617,input data,cs
0.819383561,0.761385825,input error,cs
0.38023091,0.397025503,input operands,cs
0.377121877,0.40028964,input sentence,cs
0.378040718,0.397910746,input sequences,cs
0.36969572,0.403345749,input signal,cs
0.022162263,0.436320011,instance-based learning,cs
0.605954666,0.070630837,integer factorization algorithms,cs
0.352294959,0.120686348,integrated computational materials engineering,cs
0.279663504,0.888571099,intelligent agent,cs
0.240432007,0.906088306,intelligent agent paradigm,cs
0.277297331,0.888399424,intelligent agents,cs
0.264203606,0.897568809,intelligent machines,cs
0.106939861,0.295521837,internet protocol suite,cs
0.10475286,0.292125343,internet route objects,cs
0.106988118,0.295524119,internet routing registry,cs
0.106126615,0.294716455,internet service providers,cs
0.534860312,0.402000484,interpolative decomposition,cs
0.843085638,0.702571206,inverse matrix,cs
0.127881511,0.296998279,ip routing,cs
0.133369209,0.293978037,ipn design,cs
0.386327657,0.566274031,iterative method,cs
0.22226241,0.201718482,javascript computer programming,cs
0.429564852,0.028910654,javascript pseudorandom number generators,cs
0.424963688,0.027105321,javascript v8 engine,cs
0.743371649,0.458757337,join trees,cs
0.212827463,0.642152277,k nearest neighbors,cs
0.574009411,0.311651038,kargerstein algorithm,cs
0.747631499,0.340219465,kernel density estimation,cs
0.5401543,0.270961127,kernel function,cs
0.538609646,0.268967883,kernel machines,cs
0.031224245,0.421916085,kernelized learning algorithms,cs
0.400830423,0.662190077,known classes,cs
0.616440473,0.466149366,krylov subspace,cs
0.405636357,0.378619658,language model,cs
0.401110158,0.376157097,language modeling,cs
0.397398823,0.379725536,language specification,cs
0.437249019,0.251901804,las vegas algorithms,cs
0.440206118,0.376097549,latent semantic analysis,cs
0.151583348,0.326659435,layered network architecture,cs
0.725194577,0.462340857,leaf node,cs
0.728090945,0.461926134,leaf nodes,cs
0.330557415,0.073734111,learning automaton,cs
0.024008929,0.437030773,learning theory,cs
0.029878072,0.427742229,learning vector quantization,cs
0.934412,0.720033345,least-squares support-vector machine,cs
0.533904092,0.328914324,lexicographic code,cs
0.444622754,0.980978424,lightweight software,cs
0.629916113,0.059600043,linear algebra,cs
0.90728253,0.435049912,linear combination,cs
0.904528464,0.432815262,linear dependency,cs
0.837352568,0.702456563,linear discriminant analysis,cs
0.902573613,0.429923579,linear equations,cs
0.903710978,0.431556742,linear function,cs
0.905219844,0.43304611,linear programming,cs
0.633335267,0.113430861,linear quadratic gaussian control,cs
0.732889251,0.335617995,linear regularization methods,cs
0.905539154,0.433488483,linear system,cs
0.627308698,0.330153737,linearithmic time,cs
0.682395549,0.476683739,local minima,cs
0.608183334,0.858746256,local minimum,cs
0.68331333,0.476431315,local regression,cs
0.750365895,0.279424434,logarithm function,cs
0.668517328,0.175722331,logic gate,cs
0.667183766,0.175136153,logic program,cs
0.665883403,0.174169029,logic programming,cs
0.66612424,0.173222293,logic programming language,cs
0.665414939,0.172304663,logic programming languages,cs
0.339143,0.852477009,logical calculi,cs
0.392568541,0.342144679,logical data model,cs
0.752014703,0.281162317,logistic function,cs
0.752232166,0.281255187,logistic model,cs
0.75385409,0.285091866,logistic regression,cs
0.681405578,0.818248165,logspace reductions,cs
0.43823193,0.336730588,lookup table,cs
0.438101518,0.337253748,lookup tables,cs
0.617650322,0.425035267,loop body,cs
0.622703202,0.415098744,loop peeling,cs
0.621030299,0.414449493,loop splitting,cs
0.66091365,0.989968764,lossless compression,cs
0.662074717,0.991345228,lossless compression algorithm,cs
0.78953729,0.769562647,lossy methods,cs
0.304066227,0.165389495,machine consciousness,cs
0.355016296,0.150737035,machine ethics,cs
0.331828689,0.077523447,machine learning,cs
0.333860483,0.078584209,machine learning algorithms,cs
0.332255179,0.077425994,machine learning tasks,cs
0.332726768,0.078672983,machine translation,cs
0.455654003,0.735513707,main functions,cs
0.254772724,0.223736919,managed code,cs
0.569642381,0.371172052,manifold alignment,cs
0.46561485,0.462935111,margin classifier,cs
0.848435514,0.330840211,markov algorithms,cs
0.848552638,0.330799322,markov assumption,cs
0.850335114,0.330662158,markov chain,cs
0.827483657,0.342808463,markov random field,cs
0.594356038,0.040215964,mathematical constructors,cs
0.594486592,0.039545052,mathematical duality,cs
0.5958724,0.040918973,mathematical formula,cs
0.5945212,0.040309002,mathematical function,cs
0.599090449,0.039220595,mathematical logic,cs
0.594524479,0.040361638,mathematical model,cs
0.593002019,0.040390257,mathematical study,cs
0.26193998,0.209187094,matlab code,cs
0.69639038,0.311576031,matrix decomposition,cs
0.696635512,0.311473247,matrix decompositions,cs
0.691244919,0.313531677,matrix operations,cs
0.676170532,0.397880958,max-flow min-cut theorem,cs
0.365526669,0.728329392,maximal subtree isomorphism,cs
0.53825208,0.489497725,maximin model,cs
0.534419329,0.487589982,maximin models,cs
0.776749193,0.338068033,maximum entropy probability distribution,cs
0.373634753,0.726831046,maximum likelihood,cs
0.746193708,0.419488642,maximum-margin hyperplane,cs
0.239603047,0.485509246,medical imaging,cs
0.669841482,0.908377874,meldable heap,cs
0.342162502,0.412323257,membership function,cs
0.538418133,0.171323997,memory allocation,cs
0.555269519,0.18041164,memory debugger,cs
0.554955323,0.18013402,memory debuggers,cs
0.840440806,0.771461355,memory leaks,cs
0.537309891,0.171452201,memory management unit,cs
0.551606217,0.17878378,memory protection,cs
0.551347261,0.179569465,memory search,cs
0.550546549,0.179634259,memory sharing,cs
0.550476819,0.179278228,memory space,cs
0.02106437,0.439742298,meta learning,cs
0.36326655,0.428431116,method call,cs
0.32105323,0.021698039,microsoft sql server,cs
0.301733275,0.028232261,microsoft windows application programming interface,cs
0.610318122,0.859932229,minimum k-cut,cs
0.117473466,0.337771147,mobile ad hoc networks,cs
0.426475625,0.445723712,model predictive control,cs
0.116734485,0.752797737,modern decision theory,cs
0.855850764,0.276766003,monic polynomials,cs
0.503629358,0.053449311,monte carlo algorithm,cs
0.503291675,0.053703849,monte carlo algorithms,cs
0.776535752,0.733690959,moravec's paradox,cs
0.716182186,0.392391252,multifrontal solver,cs
0.717949691,0.394257881,multilevel sampling system,cs
0.218041397,0.301095669,multimedia communication,cs
0.218944295,0.301337019,multimedia data,cs
0.71728657,0.394103462,multimodal architecture,cs
0.717510131,0.394436467,multimodal system,cs
0.716697868,0.392662428,multinomial model,cs
0.717360573,0.390767488,multivariate analysis,cs
0.470874476,0.34130198,mutable array,cs
0.494878806,0.401661456,mutable ordered lists,cs
0.385239107,0.41586839,mvc design pattern,cs
0.522581303,0.569329974,n log n comparisons,cs
0.377339023,0.823624247,natural computation,cs
0.378868488,0.822674762,natural language,cs
0.300796282,0.261049116,natural language processing,cs
0.919519997,0.524496776,neighbouring vertices,cs
0.616366929,0.425769093,nested loop,cs
0.151535637,0.324905241,network architecture,cs
0.115383198,0.300748915,network browsing,cs
0.155290317,0.330622653,network elements,cs
0.150798907,0.312831118,network processors,cs
0.456441034,0.148226486,neural abstraction pyramid,cs
0.461411065,0.149431875,neural network,cs
0.454446698,0.147844418,neural network toolbox,cs
0.46080719,0.149555028,neural networks,cs
0.470882694,0.151110799,neuron clusters,cs
0.672196115,0.326388062,nm matrix,cs
0.47295472,0.930895454,non-negative matrix factorization,cs
0.487380778,0.922708158,normal discriminant analysis,cs
0.397836196,0.883963157,normalization layers,cs
0.396283663,0.90288193,normalized entropy,cs
0.58905702,0.066754747,numerical analysis,cs
0.587120866,0.066790025,numerical computing programs,cs
0.62448064,0.060524444,numerical linear algebra,cs
0.592079975,0.069094632,numerical method,cs
0.592265048,0.069965949,numerical operations,cs
0.58234188,0.069457809,numerical optimization,cs
0.902631531,0.851296948,numpy bindings,cs
0.253154209,0.232424499,object code,cs
0.25158747,0.233588344,object code optimizer,cs
0.255466399,0.234470715,object oriented programming,cs
0.343232376,0.822105082,objective function,cs
0.604468978,0.438963263,ogee curve,cs
0.293120579,0.381506225,operating systems,cs
0.189752554,0.522167297,optical character recognition,cs
0.290102519,0.839221946,optimal solution,cs
0.654318388,0.355890019,optimality problem,cs
0.543584693,0.098251519,optimization algorithm,cs
0.542335209,0.10063551,optimization mechanism,cs
0.543322923,0.097528383,optimization methods,cs
0.543268546,0.094233084,optimization problem,cs
0.544302195,0.092126002,optimization problems,cs
0.546662795,0.088206179,optimization theory,cs
0.181709699,0.224295413,oracle developer studio,cs
0.494580038,0.402783008,ordered sets,cs
0.743484861,0.45745227,ordered tree,cs
0.338533076,0.762946066,original data,cs
0.69682712,0.35801951,orthogonal decomposition,cs
0.472476515,0.311259636,osi model,cs
0.879500453,0.634702126,outer node,cs
0.421049402,0.428829551,output label,cs
0.90949213,0.688989758,parallel algorithm,cs
0.740023111,0.132764811,parallel graph algorithms,cs
0.909072284,0.689599168,parallel solution,cs
0.751198025,0.455513635,parallel tree contraction,cs
0.050310072,0.479406904,parent class,cs
0.443541805,0.466233875,parity function,cs
0.641439012,0.078970018,pattern calculus,cs
0.250284199,0.55417601,pattern matching,cs
0.249325395,0.551951264,pattern recognition,cs
0.248610389,0.550714217,pattern recognition task,cs
0.366653281,0.442036019,performance analyzer,cs
0.125075014,0.453566303,physical memory,cs
0.130641544,0.463665789,physical qualities,cs
0.745044082,0.429012598,plane tree,cs
0.463776121,0.457641396,point distribution model,cs
0.854224206,0.416369553,polygonal approximations,cs
0.839849044,0.413558311,polymorphic association,cs
